,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5171585227102963,-0.5171585227102963,hf,1,gas,hf/6-31g*,1,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
1,0.3620986347028859,0.3620986347028859,hf,1,gas,hf/6-31g*,2,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
2,-0.3032068247361609,-0.3032068247361609,hf,1,gas,hf/6-31g*,3,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
3,-0.0892729259855671,-0.0892729259855671,hf,1,gas,hf/6-31g*,4,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
4,-0.19637189520880433,-0.19637189520880433,hf,1,gas,hf/6-31g*,5,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
5,-0.08216373469110544,-0.08216373469110544,hf,1,gas,hf/6-31g*,6,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
6,-0.3122639729747363,-0.3122639729747363,hf,1,gas,hf/6-31g*,7,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
7,0.13785681221457657,0.13785681221457657,hf,1,gas,hf/6-31g*,8,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
8,0.1388611470398043,0.1388611470398043,hf,1,gas,hf/6-31g*,9,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
9,0.13865374026457872,0.13865374026457872,hf,1,gas,hf/6-31g*,10,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
10,0.1562646017210645,0.1562646017210645,hf,1,gas,hf/6-31g*,11,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
11,0.1334425122524187,0.1334425122524187,hf,1,gas,hf/6-31g*,12,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
12,0.14228866747944757,0.14228866747944757,hf,1,gas,hf/6-31g*,13,Cc1ccccc1,[H:13][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:14])[H:15])[C:1]([H:8])([H:9])[H:10])[H:11])[H:12]
