,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.7234262068168172,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
1,0.8699910854408063,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
2,-0.6338622999559214,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
3,0.2481375477419796,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
4,-0.5677269639688013,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
5,0.4669782208296867,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
6,-0.7484957016860958,RESP2,hf/6-31g*,1.0,0.0,N,hf,7,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
7,0.1900757366289314,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
8,0.1900641668370011,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
9,0.1678030004812933,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
10,0.2042927048693457,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
11,0.0939986942321879,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
12,0.2011796356309473,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
13,0.0409903797354559,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
0,-0.7253342951371013,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
1,0.8721502221249666,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
2,-0.6352825360453387,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
3,0.2493041305200883,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
4,-0.5692178994660273,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
5,0.4684374436626353,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
6,-0.7531920173610711,RESP2,hf/6-31g*,1.0,0.05,N,hf,7,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
7,0.1903576980332314,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
8,0.1903472235455039,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
9,0.1689883945300155,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
10,0.2052552505005971,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
11,0.0947424898766002,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
12,0.2022132839137727,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
13,0.0412306113021268,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
0,-0.7272423834573852,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
1,0.8743093588091271,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
2,-0.636702772134756,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
3,0.2504707132981971,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
4,-0.5707088349632534,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
5,0.4698966664955838,RESP2,hf/6-31g*,1.0,0.1,C,hf,6,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
6,-0.7578883330360463,RESP2,hf/6-31g*,1.0,0.1,N,hf,7,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
7,0.1906396594375313,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
8,0.1906302802540068,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
9,0.1701737885787378,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
10,0.2062177961318486,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
11,0.0954862855210126,RESP2,hf/6-31g*,1.0,0.1,H,hf,12,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
12,0.2032469321965982,RESP2,hf/6-31g*,1.0,0.1,H,hf,13,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
13,0.0414708428687977,RESP2,hf/6-31g*,1.0,0.1,H,hf,14,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
0,-0.7291504717776693,RESP2,hf/6-31g*,1.0,0.15,C,hf,1,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
1,0.8764684954932873,RESP2,hf/6-31g*,1.0,0.15,C,hf,2,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
2,-0.6381230082241734,RESP2,hf/6-31g*,1.0,0.15,C,hf,3,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
3,0.2516372960763058,RESP2,hf/6-31g*,1.0,0.15,C,hf,4,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
4,-0.5721997704604795,RESP2,hf/6-31g*,1.0,0.15,C,hf,5,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
5,0.4713558893285323,RESP2,hf/6-31g*,1.0,0.15,C,hf,6,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
6,-0.7625846487110216,RESP2,hf/6-31g*,1.0,0.15,N,hf,7,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
7,0.1909216208418312,RESP2,hf/6-31g*,1.0,0.15,H,hf,8,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
8,0.1909133369625097,RESP2,hf/6-31g*,1.0,0.15,H,hf,9,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
9,0.1713591826274601,RESP2,hf/6-31g*,1.0,0.15,H,hf,10,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
10,0.2071803417631001,RESP2,hf/6-31g*,1.0,0.15,H,hf,11,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
11,0.0962300811654249,RESP2,hf/6-31g*,1.0,0.15,H,hf,12,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
12,0.2042805804794237,RESP2,hf/6-31g*,1.0,0.15,H,hf,13,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
13,0.0417110744354686,RESP2,hf/6-31g*,1.0,0.15,H,hf,14,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
0,-0.7310585600979533,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
1,0.8786276321774478,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
2,-0.6395432443135908,RESP2,hf/6-31g*,1.0,0.2,C,hf,3,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
3,0.2528038788544146,RESP2,hf/6-31g*,1.0,0.2,C,hf,4,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
4,-0.5736907059577057,RESP2,hf/6-31g*,1.0,0.2,C,hf,5,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
5,0.4728151121614807,RESP2,hf/6-31g*,1.0,0.2,C,hf,6,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
6,-0.7672809643859969,RESP2,hf/6-31g*,1.0,0.2,N,hf,7,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
7,0.1912035822461311,RESP2,hf/6-31g*,1.0,0.2,H,hf,8,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
8,0.1911963936710125,RESP2,hf/6-31g*,1.0,0.2,H,hf,9,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
9,0.1725445766761822,RESP2,hf/6-31g*,1.0,0.2,H,hf,10,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
10,0.2081428873943514,RESP2,hf/6-31g*,1.0,0.2,H,hf,11,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
11,0.0969738768098373,RESP2,hf/6-31g*,1.0,0.2,H,hf,12,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
12,0.205314228762249,RESP2,hf/6-31g*,1.0,0.2,H,hf,13,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
13,0.0419513060021394,RESP2,hf/6-31g*,1.0,0.2,H,hf,14,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
0,-0.7329666484182374,RESP2,hf/6-31g*,1.0,0.25,C,hf,1,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
1,0.8807867688616081,RESP2,hf/6-31g*,1.0,0.25,C,hf,2,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
2,-0.6409634804030081,RESP2,hf/6-31g*,1.0,0.25,C,hf,3,[H:12][c:4]1[c:5]([c:6]([n:7][c:2]([c:3]1[H:11])[C:1]([H:8])([H:9])[H:10])[H:14])[H:13],,
