,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5371528445618288,-0.5371528445618288,hf,1,gas,hf/6-31g*,1,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
1,-0.04178069147315783,-0.04178069147315783,hf,1,gas,hf/6-31g*,2,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
2,0.09652449010229186,0.09652449010229186,hf,1,gas,hf/6-31g*,3,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
3,-0.5306909116057723,-0.5306909116057723,hf,1,gas,hf/6-31g*,4,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
4,0.45569107393995884,0.45569107393995884,hf,1,gas,hf/6-31g*,5,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
5,-0.672613068070914,-0.672613068070914,hf,1,gas,hf/6-31g*,6,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
6,0.3590462052796708,0.3590462052796708,hf,1,gas,hf/6-31g*,7,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
7,0.15500223942433933,0.15500223942433933,hf,1,gas,hf/6-31g*,8,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
8,0.15798108886547035,0.15798108886547035,hf,1,gas,hf/6-31g*,9,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
9,0.15797953212969437,0.15797953212969437,hf,1,gas,hf/6-31g*,10,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
10,0.11655347590266174,0.11655347590266174,hf,1,gas,hf/6-31g*,11,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
11,0.20249401966291677,0.20249401966291677,hf,1,gas,hf/6-31g*,12,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
12,0.035579829020645715,0.035579829020645715,hf,1,gas,hf/6-31g*,13,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
13,0.047947495821316216,0.047947495821316216,hf,1,gas,hf/6-31g*,14,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
0,-0.5371528445626348,-0.5371528445626348,hf,,gas,hf/6-31g*,1,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
1,-0.041780691472537095,-0.041780691472537095,hf,,gas,hf/6-31g*,2,Cc1cccnc1,[H:12][c:4]1[c:3]([c:2]([c:7]([n:6][c:5]1[H:13])[H:14])[C:1]([H:8])([H:9])[H:10])[H:11]
