,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3257959992337338,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
1,0.22713989770111354,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
2,-0.24830467901244363,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
3,-0.32261003415438155,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
4,0.01232431115063572,RESP2,hf/6-31g*,1.0,0.0,S,hf,5,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
5,0.007373043752521069,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
6,-0.6503462631050678,RESP2,hf/6-31g*,1.0,0.0,N,hf,7,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
7,1.0280856010617554,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
8,-1.0225614962133696,RESP2,hf/6-31g*,1.0,0.0,N,hf,9,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
9,-0.6137580275293816,RESP2,hf/6-31g*,1.0,0.0,O,hf,10,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
10,0.08891500901048155,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
11,0.08901761837183822,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
12,0.11308085879664517,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
13,0.18369595065207922,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
14,0.2563925247463655,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
15,0.3765980669657761,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
16,0.4052143919725485,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
17,0.39553922506661787,RESP2,hf/6-31g*,1.0,0.0,H,hf,18,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
0,-0.327189154778387,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
1,0.22819868046600691,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
2,-0.2502288588103446,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
3,-0.32256564283911543,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
4,0.011152064223960275,RESP2,hf/6-31g*,1.0,0.05,S,hf,5,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
5,0.007333789595974347,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
6,-0.6520436753045816,RESP2,hf/6-31g*,1.0,0.05,N,hf,7,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
7,1.0313248885696429,RESP2,hf/6-31g*,1.0,0.05,C,hf,8,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
8,-1.0253662961125654,RESP2,hf/6-31g*,1.0,0.05,N,hf,9,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
9,-0.6189632681401367,RESP2,hf/6-31g*,1.0,0.05,O,hf,10,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
10,0.08985765607055908,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
11,0.0897758742647451,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
12,0.11316210213636085,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
13,0.18480944086395762,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
14,0.2572072566290595,RESP2,hf/6-31g*,1.0,0.05,H,hf,15,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
15,0.37923626535953936,RESP2,hf/6-31g*,1.0,0.05,H,hf,16,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
16,0.40689182200438384,RESP2,hf/6-31g*,1.0,0.05,H,hf,17,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
17,0.39740705580094104,RESP2,hf/6-31g*,1.0,0.05,H,hf,18,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
0,-0.3285823103230402,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
1,0.22925746323090024,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
2,-0.2521530386082456,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
3,-0.3225212515238493,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
4,0.00997981729728482,RESP2,hf/6-31g*,1.0,0.1,S,hf,5,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
5,0.007294535439427614,RESP2,hf/6-31g*,1.0,0.1,C,hf,6,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
6,-0.6537410875040957,RESP2,hf/6-31g*,1.0,0.1,N,hf,7,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
7,1.0345641760775302,RESP2,hf/6-31g*,1.0,0.1,C,hf,8,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
8,-1.0281710960117614,RESP2,hf/6-31g*,1.0,0.1,N,hf,9,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
9,-0.6241685087508917,RESP2,hf/6-31g*,1.0,0.1,O,hf,10,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
10,0.09080030313063658,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:14][C:3]1=[C:4]([S:5][C:6](=[C:2]1[C:1]([H:11])([H:12])[H:13])[N:7]([H:16])[C:8](=[O:10])[N:9]([H:17])[H:18])[H:15],,
