,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.48177334422049467,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
1,0.03233938522489131,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
2,0.2475010370443385,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
3,-0.6113903817366447,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
4,0.2539579134755038,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
5,0.026603698688485163,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
6,-0.4843529019884429,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
7,-0.14705231461130913,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
8,0.13550332842859408,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
9,0.1447784988602151,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
10,0.1443277916965929,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
11,0.07551298917832831,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
12,0.07475599191715625,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
13,0.1457058100253254,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
14,0.14588699191848095,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
15,0.13600032395198958,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
16,0.16169518214699005,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
0,-0.4832246959000255,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
1,0.03175090042513313,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
2,0.24878414601358365,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
3,-0.6162943679142466,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
4,0.2552172710935105,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
5,0.026037602361465392,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
6,-0.4858289414609993,RESP2,hf/6-31g*,1.0,0.05,C,hf,7,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
7,-0.14590832341435767,RESP2,hf/6-31g*,1.0,0.05,C,hf,8,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
8,0.13610793607388133,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
9,0.14546338390755786,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
10,0.145004179602914,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
11,0.07574456851341389,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
12,0.07499241461763577,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
13,0.14639004145349274,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
14,0.14657195575418086,RESP2,hf/6-31g*,1.0,0.05,H,hf,15,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
15,0.13661483879391673,RESP2,hf/6-31g*,1.0,0.05,H,hf,16,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
16,0.16257709007894314,RESP2,hf/6-31g*,1.0,0.05,H,hf,17,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
0,-0.48467604757955635,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
1,0.031162415625374973,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
2,0.2500672549828288,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
3,-0.6211983540918486,RESP2,hf/6-31g*,1.0,0.1,N,hf,4,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
4,0.2564766287115173,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
5,0.02547150603444564,RESP2,hf/6-31g*,1.0,0.1,C,hf,6,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
6,-0.4873049809335558,RESP2,hf/6-31g*,1.0,0.1,C,hf,7,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
7,-0.1447643322174062,RESP2,hf/6-31g*,1.0,0.1,C,hf,8,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
8,0.13671254371916863,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
9,0.14614826895490068,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
10,0.14568056750923514,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
11,0.07597614784849949,RESP2,hf/6-31g*,1.0,0.1,H,hf,12,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
12,0.07522883731811529,RESP2,hf/6-31g*,1.0,0.1,H,hf,13,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
13,0.14707427288166014,RESP2,hf/6-31g*,1.0,0.1,H,hf,14,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
14,0.1472569195898808,RESP2,hf/6-31g*,1.0,0.1,H,hf,15,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
15,0.1372293536358439,RESP2,hf/6-31g*,1.0,0.1,H,hf,16,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
16,0.16345899801089628,RESP2,hf/6-31g*,1.0,0.1,H,hf,17,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
0,-0.48612739925908716,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,1,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
1,0.030573930825616786,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,2,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
2,0.2513503639520739,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,3,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
3,-0.6261023402694504,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,4,[H:17][c:8]1[c:2]([c:3]([n:4][c:5]([c:6]1[C:7]([H:14])([H:15])[H:16])[H:13])[H:12])[C:1]([H:9])([H:10])[H:11],,
