,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3909324904918724,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
1,0.2634951645706198,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
2,-0.5135959134409307,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
3,0.038804253127120485,RESP2,hf/6-31g*,1.0,0.0,S,hf,4,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
4,-0.06697702494805274,RESP2,hf/6-31g*,1.0,0.0,S,hf,5,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
5,0.3953448823166187,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
6,-0.4254495529407136,RESP2,hf/6-31g*,1.0,0.0,O,hf,7,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
7,0.12699697793663392,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
8,0.12700212384721474,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
9,0.10717328331345904,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
10,0.33813829670990275,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
0,-0.39130594135151126,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
1,0.2637767027869346,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
2,-0.5137142115187214,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
3,0.039859890262438906,RESP2,hf/6-31g*,1.0,0.05,S,hf,4,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
4,-0.06841906099402903,RESP2,hf/6-31g*,1.0,0.05,S,hf,5,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
5,0.39696338225900957,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
6,-0.42877946827334906,RESP2,hf/6-31g*,1.0,0.05,O,hf,7,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
7,0.12683859801627037,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
8,0.12684383088889375,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
9,0.10808978107745677,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
10,0.33984649684660684,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
0,-0.3916793922111501,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
1,0.2640582410032495,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
2,-0.5138325095965124,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
3,0.04091552739775735,RESP2,hf/6-31g*,1.0,0.1,S,hf,4,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
4,-0.06986109704000532,RESP2,hf/6-31g*,1.0,0.1,S,hf,5,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
5,0.3985818822014004,RESP2,hf/6-31g*,1.0,0.1,C,hf,6,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
6,-0.43210938360598455,RESP2,hf/6-31g*,1.0,0.1,O,hf,7,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
7,0.12668021809590685,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
8,0.1266855379305728,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
9,0.10900627884145453,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
10,0.3415546969833109,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
0,-0.3920528430707889,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,1,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
1,0.2643397792195644,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,2,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
2,-0.5139508076743032,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,3,[H:11][C:3]1=[C:2]([C:6](=[O:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
