,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.46418026693882997,-0.46418026693882997,hf,1,gas,hf/6-31g*,1,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
1,0.4421874952218,0.4421874952218,hf,1,gas,hf/6-31g*,2,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
2,-0.46770088401428167,-0.46770088401428167,hf,1,gas,hf/6-31g*,3,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
3,0.06534759237510457,0.06534759237510457,hf,1,gas,hf/6-31g*,4,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
4,0.03008736553985961,0.03008736553985961,hf,1,gas,hf/6-31g*,5,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
5,-0.03256059303827008,-0.03256059303827008,hf,1,gas,hf/6-31g*,6,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
6,-0.25801448488433054,-0.25801448488433054,hf,1,gas,hf/6-31g*,7,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
7,0.1248524880490342,0.1248524880490342,hf,1,gas,hf/6-31g*,8,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
8,0.12945854248150399,0.12945854248150399,hf,1,gas,hf/6-31g*,9,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
9,0.12947260835649232,0.12947260835649232,hf,1,gas,hf/6-31g*,10,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
10,0.3024784472808053,0.3024784472808053,hf,1,gas,hf/6-31g*,11,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
0,-0.46418026693681713,-0.46418026693681713,hf,,gas,hf/6-31g*,1,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
1,0.4421874952209949,0.4421874952209949,hf,,gas,hf/6-31g*,2,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
2,-0.467700884014124,-0.467700884014124,hf,,gas,hf/6-31g*,3,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
3,0.06534759237512028,0.06534759237512028,hf,,gas,hf/6-31g*,4,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
4,0.03008736553982407,0.03008736553982407,hf,,gas,hf/6-31g*,5,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
5,-0.03256059303805005,-0.03256059303805005,hf,,gas,hf/6-31g*,6,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
6,-0.2580144848843633,-0.2580144848843633,hf,,gas,hf/6-31g*,7,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
7,0.12485248804853555,0.12485248804853555,hf,,gas,hf/6-31g*,8,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
8,0.1294585424809994,0.1294585424809994,hf,,gas,hf/6-31g*,9,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
9,0.12947260835599175,0.12947260835599175,hf,,gas,hf/6-31g*,10,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
10,0.30247844728077433,0.30247844728077433,hf,,gas,hf/6-31g*,11,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
0,-0.51020135903379,-0.51020135903379,resp2,1,gas,hf/6-31g*,1,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
1,0.5587056549970387,0.5587056549970387,resp2,1,gas,hf/6-31g*,2,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
2,-0.5440517702559048,-0.5440517702559048,resp2,1,gas,hf/6-31g*,3,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
3,0.07930635366401467,0.07930635366401467,resp2,1,gas,hf/6-31g*,4,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
4,0.051984948064937093,0.051984948064937093,resp2,1,gas,hf/6-31g*,5,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
5,-0.12129899892460867,-0.12129899892460867,resp2,1,gas,hf/6-31g*,6,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
6,-0.23739862207358092,-0.23739862207358092,resp2,1,gas,hf/6-31g*,7,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
7,0.1288518070802369,0.1288518070802369,resp2,1,gas,hf/6-31g*,8,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
8,0.136992990997556,0.136992990997556,resp2,1,gas,hf/6-31g*,9,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
9,0.13701468412843426,0.13701468412843426,resp2,1,gas,hf/6-31g*,10,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
10,0.321510876923857,0.321510876923857,resp2,1,gas,hf/6-31g*,11,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
0,-0.5102013590323855,-0.5102013590323855,resp2,,gas,hf/6-31g*,1,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
1,0.5587056549959587,0.5587056549959587,resp2,,gas,hf/6-31g*,2,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
2,-0.5440517702553118,-0.5440517702553118,resp2,,gas,hf/6-31g*,3,Cc1cssc1=S,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10]
