,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.46431011334145617,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
1,0.4420576488191738,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
2,-0.46783073041690787,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
3,0.0652177459724784,RESP2,hf/6-31g*,1.0,0.0,S,hf,4,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
4,0.029957519137233435,RESP2,hf/6-31g*,1.0,0.0,S,hf,5,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
5,-0.03269043944089625,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
6,-0.25814433128695674,RESP2,hf/6-31g*,1.0,0.0,S,hf,7,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
7,0.12472264164640803,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
8,0.12932869607887781,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
9,0.12934276195386615,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][C:3]1=[C:2]([C:6](=[S:7])[S:5][S:4]1)[C:1]([H:8])([H:9])[H:10],,
