,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.07464507101713898,-0.07464507101713898,hf,1,gas,hf/6-31g*,1,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
1,-0.25018171064960437,-0.25018171064960437,hf,1,gas,hf/6-31g*,2,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
2,-0.019527344569580475,-0.019527344569580475,hf,1,gas,hf/6-31g*,3,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
3,-0.055380184819037254,-0.055380184819037254,hf,1,gas,hf/6-31g*,4,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
4,0.30206786282024045,0.30206786282024045,hf,1,gas,hf/6-31g*,5,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
5,-0.393796233353526,-0.393796233353526,hf,1,gas,hf/6-31g*,6,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
6,0.2862780841144684,0.2862780841144684,hf,1,gas,hf/6-31g*,7,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
7,-0.43186854044834727,-0.43186854044834727,hf,1,gas,hf/6-31g*,8,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
8,0.09557533902883786,0.09557533902883786,hf,1,gas,hf/6-31g*,9,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
9,0.09558188008335014,0.09558188008335014,hf,1,gas,hf/6-31g*,10,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
10,0.05386622966489987,0.05386622966489987,hf,1,gas,hf/6-31g*,11,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
11,0.1226198569316207,0.1226198569316207,hf,1,gas,hf/6-31g*,12,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
12,0.12261927419072914,0.12261927419072914,hf,1,gas,hf/6-31g*,13,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
13,0.15042073128904046,0.15042073128904046,hf,1,gas,hf/6-31g*,14,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
0,-0.07464507101628368,-0.07464507101628368,hf,,gas,hf/6-31g*,1,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
1,-0.2501817106501563,-0.2501817106501563,hf,,gas,hf/6-31g*,2,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
2,-0.01952734456956349,-0.01952734456956349,hf,,gas,hf/6-31g*,3,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
3,-0.0553801848189673,-0.0553801848189673,hf,,gas,hf/6-31g*,4,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
4,0.3020678628199198,0.3020678628199198,hf,,gas,hf/6-31g*,5,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
5,-0.39379623335344127,-0.39379623335344127,hf,,gas,hf/6-31g*,6,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
6,0.28627808411533856,0.28627808411533856,hf,,gas,hf/6-31g*,7,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
7,-0.431868540449761,-0.431868540449761,hf,,gas,hf/6-31g*,8,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
8,0.09557533902865835,0.09557533902865835,hf,,gas,hf/6-31g*,9,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
9,0.09558188008317145,0.09558188008317145,hf,,gas,hf/6-31g*,10,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
10,0.053866229664626536,0.053866229664626536,hf,,gas,hf/6-31g*,11,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
11,0.12261985693193456,0.12261985693193456,hf,,gas,hf/6-31g*,12,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
12,0.12261927419104278,0.12261927419104278,hf,,gas,hf/6-31g*,13,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
13,0.15042073128943495,0.15042073128943495,hf,,gas,hf/6-31g*,14,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
0,-0.13613236332527867,-0.13613236332527867,resp2,1,gas,hf/6-31g*,1,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
1,-0.3016864642094555,-0.3016864642094555,resp2,1,gas,hf/6-31g*,2,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
2,-0.011957278491857576,-0.011957278491857576,resp2,1,gas,hf/6-31g*,3,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
3,-0.027523259444642605,-0.027523259444642605,resp2,1,gas,hf/6-31g*,4,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
4,0.1868619644489536,0.1868619644489536,resp2,1,gas,hf/6-31g*,5,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
5,-0.3592572280000542,-0.3592572280000542,resp2,1,gas,hf/6-31g*,6,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
6,0.4292026992104107,0.4292026992104107,resp2,1,gas,hf/6-31g*,7,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
7,-0.5643453032505977,-0.5643453032505977,resp2,1,gas,hf/6-31g*,8,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
8,0.11811135084082439,0.11811135084082439,resp2,1,gas,hf/6-31g*,9,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
9,0.11811852690677123,0.11811852690677123,resp2,1,gas,hf/6-31g*,10,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
10,0.06671800127557415,0.06671800127557415,resp2,1,gas,hf/6-31g*,11,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
11,0.15196248938489854,0.15196248938489854,resp2,1,gas,hf/6-31g*,12,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
12,0.15196146712410985,0.15196146712410985,resp2,1,gas,hf/6-31g*,13,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
13,0.18122382474201673,0.18122382474201673,resp2,1,gas,hf/6-31g*,14,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
0,-0.1361323633253241,-0.1361323633253241,resp2,,gas,hf/6-31g*,1,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
1,-0.3016864642092649,-0.3016864642092649,resp2,,gas,hf/6-31g*,2,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
2,-0.011957278491894836,-0.011957278491894836,resp2,,gas,hf/6-31g*,3,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
3,-0.027523259444633703,-0.027523259444633703,resp2,,gas,hf/6-31g*,4,Cc1ssc(=O)c1C,[H:12][C:8]([H:13])([H:14])[C:7]1=[C:2]([S:3][S:4][C:5]1=[O:6])[C:1]([H:9])([H:10])[H:11]
