,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.16774988843254715,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
1,-0.4853569378331125,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
2,0.9441217380657944,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
3,-0.6120788793974733,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
4,-0.7426635347760049,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
5,0.701950327262644,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
6,-0.5983451527845103,RESP2,hf/6-31g*,1.0,0.0,N,hf,7,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
7,0.13301387844042523,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
8,0.2625708765264355,RESP2,hf/6-31g*,1.0,0.0,N,hf,9,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
9,-0.4489833605704802,RESP2,hf/6-31g*,1.0,0.0,C,hf,10,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
10,-0.43789414070202404,RESP2,hf/6-31g*,1.0,0.0,N,hf,11,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
11,0.0009300276282319277,RESP2,hf/6-31g*,1.0,0.0,C,hf,12,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
12,0.8449775088002178,RESP2,hf/6-31g*,1.0,0.0,C,hf,13,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
13,-0.6096794358199478,RESP2,hf/6-31g*,1.0,0.0,O,hf,14,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
14,0.11137004651135368,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
15,0.11080791808759706,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
16,0.11548906979604778,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
17,0.15650189643823725,RESP2,hf/6-31g*,1.0,0.0,H,hf,18,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
18,0.1894859730636437,RESP2,hf/6-31g*,1.0,0.0,H,hf,19,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
19,0.13975438478961388,RESP2,hf/6-31g*,1.0,0.0,H,hf,20,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
20,0.18894629905361193,RESP2,hf/6-31g*,1.0,0.0,H,hf,21,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
21,0.07061648079995717,RESP2,hf/6-31g*,1.0,0.0,H,hf,22,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
22,0.07009455193588035,RESP2,hf/6-31g*,1.0,0.0,H,hf,23,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
23,0.06212035311640881,RESP2,hf/6-31g*,1.0,0.0,H,hf,24,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
0,-0.16676257706184974,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
1,-0.48741622112340655,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
2,0.9478269928070047,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:18][C:8]1=[N:7][C:6]2=[C:5]([N:9]1[C:10]([H:19])([H:20])[H:21])[C:3](=[O:4])[N:2]([C:13](=[O:14])[N:11]2[C:12]([H:22])([H:23])[H:24])[C:1]([H:15])([H:16])[H:17],,
