,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3637695383560739,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
1,-0.0880754228556422,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
2,0.1874657908954259,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
3,-0.5701154409807855,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
4,-0.1171625686103966,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
5,0.8314689823346443,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
6,-0.9719305588224038,RESP2,hf/6-31g*,1.0,0.0,N,hf,7,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
7,-0.8325726036019516,RESP2,hf/6-31g*,1.0,0.0,N,hf,8,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
8,0.6155365354332443,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
9,-0.7991406424364902,RESP2,hf/6-31g*,1.0,0.0,N,hf,10,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
10,0.5817809337036912,RESP2,hf/6-31g*,1.0,0.0,C,hf,11,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
11,0.1653059502252949,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
12,0.1593236921395165,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
13,0.1402882725221852,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
14,0.1485944370670675,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
15,0.4280461966222742,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
16,0.4222209350742628,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
17,0.0627350496461373,RESP2,hf/6-31g*,1.0,0.0,H,hf,18,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
0,-0.364619919641886,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
1,-0.0885190924073319,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
2,0.1904587793734549,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
3,-0.5745204392420383,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
4,-0.1176387713451306,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
5,0.8347654758224485,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
6,-0.975403185905586,RESP2,hf/6-31g*,1.0,0.05,N,hf,7,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
7,-0.8366362691681979,RESP2,hf/6-31g*,1.0,0.05,N,hf,8,[H:18][c:9]1[n:10][c:11]2[c:5]([c:6]([n:8]1)[N:7]([H:16])[H:17])[N:4]=[C:3]([N:2]2[C:1]([H:12])([H:13])[H:14])[H:15],,
