,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.1445113835956268,RESP2,hf/6-31g*,1.0,0.0,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4315287004326079,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.1447223394082678,RESP2,hf/6-31g*,1.0,0.0,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1447477480471829,RESP2,hf/6-31g*,1.0,0.0,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4447736877425953,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1474185853669684,RESP2,hf/6-31g*,1.0,0.0,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1476038270300234,RESP2,hf/6-31g*,1.0,0.0,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.1472985047271336,RESP2,hf/6-31g*,1.0,0.0,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1447704790316707,RESP2,hf/6-31g*,1.0,0.05,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4323064467357984,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.144981281150145,RESP2,hf/6-31g*,1.0,0.05,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.145006576545957,RESP2,hf/6-31g*,1.0,0.05,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4455470040822036,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1476766477736726,RESP2,hf/6-31g*,1.0,0.05,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1478618612461835,RESP2,hf/6-31g*,1.0,0.05,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.147556605070373,RESP2,hf/6-31g*,1.0,0.05,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1450295744677147,RESP2,hf/6-31g*,1.0,0.1,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4330841930389888,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.1452402228920221,RESP2,hf/6-31g*,1.0,0.1,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1452654050447311,RESP2,hf/6-31g*,1.0,0.1,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4463203204218121,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1479347101803768,RESP2,hf/6-31g*,1.0,0.1,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1481198954623435,RESP2,hf/6-31g*,1.0,0.1,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.1478147054136124,RESP2,hf/6-31g*,1.0,0.1,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1452886699037587,RESP2,hf/6-31g*,1.0,0.15,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4338619393421793,RESP2,hf/6-31g*,1.0,0.15,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.1454991646338993,RESP2,hf/6-31g*,1.0,0.15,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1455242335435052,RESP2,hf/6-31g*,1.0,0.15,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4470936367614205,RESP2,hf/6-31g*,1.0,0.15,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.148192772587081,RESP2,hf/6-31g*,1.0,0.15,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1483779296785036,RESP2,hf/6-31g*,1.0,0.15,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.1480728057568518,RESP2,hf/6-31g*,1.0,0.15,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1455477653398026,RESP2,hf/6-31g*,1.0,0.2,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4346396856453698,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.1457581063757765,RESP2,hf/6-31g*,1.0,0.2,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1457830620422793,RESP2,hf/6-31g*,1.0,0.2,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4478669531010289,RESP2,hf/6-31g*,1.0,0.2,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1484508349937852,RESP2,hf/6-31g*,1.0,0.2,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1486359638946637,RESP2,hf/6-31g*,1.0,0.2,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.1483309061000912,RESP2,hf/6-31g*,1.0,0.2,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1458068607758466,RESP2,hf/6-31g*,1.0,0.25,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4354174319485603,RESP2,hf/6-31g*,1.0,0.25,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.1460170481176537,RESP2,hf/6-31g*,1.0,0.25,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1460418905410535,RESP2,hf/6-31g*,1.0,0.25,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4486402694406373,RESP2,hf/6-31g*,1.0,0.25,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1487088974004894,RESP2,hf/6-31g*,1.0,0.25,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1488939981108237,RESP2,hf/6-31g*,1.0,0.25,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.1485890064433306,RESP2,hf/6-31g*,1.0,0.25,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1460659562118906,RESP2,hf/6-31g*,1.0,0.3,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4361951782517507,RESP2,hf/6-31g*,1.0,0.3,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.1462759898595309,RESP2,hf/6-31g*,1.0,0.3,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1463007190398275,RESP2,hf/6-31g*,1.0,0.3,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.4494135857802457,RESP2,hf/6-31g*,1.0,0.3,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1489669598071936,RESP2,hf/6-31g*,1.0,0.3,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
6,-0.1491520323269838,RESP2,hf/6-31g*,1.0,0.3,F,hf,7,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
7,-0.1488471067865699,RESP2,hf/6-31g*,1.0,0.3,F,hf,8,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
0,-0.1463250516479345,RESP2,hf/6-31g*,1.0,0.35,F,hf,1,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
1,0.4369729245549413,RESP2,hf/6-31g*,1.0,0.35,C,hf,2,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
2,-0.146534931601408,RESP2,hf/6-31g*,1.0,0.35,F,hf,3,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
3,-0.1465595475386016,RESP2,hf/6-31g*,1.0,0.35,F,hf,4,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
4,0.450186902119854,RESP2,hf/6-31g*,1.0,0.35,C,hf,5,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
5,-0.1492250222138977,RESP2,hf/6-31g*,1.0,0.35,F,hf,6,[C:2]([C:5]([F:6])([F:7])[F:8])([F:1])([F:3])[F:4],,
