,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.45254906789462124,-0.45254906789462124,hf,1,gas,hf/6-31g*,1,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
1,0.41608162118761066,0.41608162118761066,hf,1,gas,hf/6-31g*,2,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
2,-0.28801144273759155,-0.28801144273759155,hf,1,gas,hf/6-31g*,3,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
3,0.41769963981956487,0.41769963981956487,hf,1,gas,hf/6-31g*,4,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
4,-0.4532071991338056,-0.4532071991338056,hf,1,gas,hf/6-31g*,5,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
5,0.18021678731125415,0.18021678731125415,hf,1,gas,hf/6-31g*,6,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
6,0.18021447855638123,0.18021447855638123,hf,1,gas,hf/6-31g*,7,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
0,-0.4525490678948912,-0.4525490678948912,hf,,gas,hf/6-31g*,1,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
1,0.41608162118834086,0.41608162118834086,hf,,gas,hf/6-31g*,2,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
2,-0.28801144273908136,-0.28801144273908136,hf,,gas,hf/6-31g*,3,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
3,0.41769963982001035,0.41769963982001035,hf,,gas,hf/6-31g*,4,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
4,-0.4532071991339079,-0.4532071991339079,hf,,gas,hf/6-31g*,5,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
5,0.18021678731159818,0.18021678731159818,hf,,gas,hf/6-31g*,6,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
6,0.1802144785567216,0.1802144785567216,hf,,gas,hf/6-31g*,7,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
0,-0.4630901241981882,-0.4630901241981882,resp2,1,gas,hf/6-31g*,1,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
1,0.4666209949354868,0.4666209949354868,resp2,1,gas,hf/6-31g*,2,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
2,-0.4500510992080052,-0.4500510992080052,resp2,1,gas,hf/6-31g*,3,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
3,0.4665639286170279,0.4665639286170279,resp2,1,gas,hf/6-31g*,4,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
4,-0.4630338678829276,-0.4630338678829276,resp2,1,gas,hf/6-31g*,5,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
5,0.2217402240119304,0.2217402240119304,resp2,1,gas,hf/6-31g*,6,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
6,0.22173464881009936,0.22173464881009936,resp2,1,gas,hf/6-31g*,7,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
0,-0.4630901241993626,-0.4630901241993626,resp2,,gas,hf/6-31g*,1,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
1,0.4666209949402775,0.4666209949402775,resp2,,gas,hf/6-31g*,2,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
2,-0.45005109922228237,-0.45005109922228237,resp2,,gas,hf/6-31g*,3,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
3,0.46656392862178175,0.46656392862178175,resp2,,gas,hf/6-31g*,4,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
4,-0.4630338678840907,-0.4630338678840907,resp2,,gas,hf/6-31g*,5,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
5,0.221740224015459,0.221740224015459,resp2,,gas,hf/6-31g*,6,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
6,0.2217346488136401,0.2217346488136401,resp2,,gas,hf/6-31g*,7,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
0,-0.5540881557669226,-0.5540881557669226,hf,1,water,hf/6-31g*,1,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
1,0.494743198536318,0.494743198536318,hf,1,water,hf/6-31g*,2,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
2,-0.32674775324947086,-0.32674775324947086,hf,1,water,hf/6-31g*,3,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
3,0.49535799612108117,0.49535799612108117,hf,1,water,hf/6-31g*,4,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
4,-0.5542623872636269,-0.5542623872636269,hf,1,water,hf/6-31g*,5,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
5,0.2227430161415609,0.2227430161415609,hf,1,water,hf/6-31g*,6,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
6,0.222738506140851,0.222738506140851,hf,1,water,hf/6-31g*,7,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
0,-0.5540881557671382,-0.5540881557671382,hf,,water,hf/6-31g*,1,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
1,0.49474319853661053,0.49474319853661053,hf,,water,hf/6-31g*,2,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
2,-0.3267477532486181,-0.3267477532486181,hf,,water,hf/6-31g*,3,N#CCC#N,[H:6][C:3]([H:7])([C:2]#[N:1])[C:4]#[N:5]
