,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.4800664215486899,-0.4800664215486899,hf,1,gas,hf/6-31g*,1,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
1,0.4344035099355709,0.4344035099355709,hf,1,gas,hf/6-31g*,2,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
2,-0.3729038222927879,-0.3729038222927879,hf,1,gas,hf/6-31g*,3,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
3,0.86336409660081,0.86336409660081,hf,1,gas,hf/6-31g*,4,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
4,-0.5935813078277545,-0.5935813078277545,hf,1,gas,hf/6-31g*,5,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
5,-0.650510575443557,-0.650510575443557,hf,1,gas,hf/6-31g*,6,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
6,0.16713762641830557,0.16713762641830557,hf,1,gas,hf/6-31g*,7,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
7,0.1686763725810438,0.1686763725810438,hf,1,gas,hf/6-31g*,8,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
8,0.46330806615147396,0.46330806615147396,hf,1,gas,hf/6-31g*,9,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
0,-0.48006641916152515,-0.48006641916152515,hf,,gas,hf/6-31g*,1,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
1,0.434403499222048,0.434403499222048,hf,,gas,hf/6-31g*,2,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
2,-0.37290378425835496,-0.37290378425835496,hf,,gas,hf/6-31g*,3,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
3,0.8633640920730488,0.8633640920730488,hf,,gas,hf/6-31g*,4,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
4,-0.5935812989045277,-0.5935812989045277,hf,,gas,hf/6-31g*,5,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
5,-0.6505105849006961,-0.6505105849006961,hf,,gas,hf/6-31g*,6,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
6,0.16713761617732129,0.16713761617732129,hf,,gas,hf/6-31g*,7,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
7,0.16867636170040431,0.16867636170040431,hf,,gas,hf/6-31g*,8,N#CCC(=O)O,[H:7][C:3]([H:8])([C:2]#[N:1])[C:4](=[O:5])[O:6][H:9]
