,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.4770620159026764,-0.4770620159026764,hf,1,gas,hf/6-31g*,1,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
1,0.35693055679554064,0.35693055679554064,hf,1,gas,hf/6-31g*,2,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
2,-0.06382769359081863,-0.06382769359081863,hf,1,gas,hf/6-31g*,3,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
3,-0.06843138398446885,-0.06843138398446885,hf,1,gas,hf/6-31g*,4,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
4,-0.36887633303192047,-0.36887633303192047,hf,1,gas,hf/6-31g*,5,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
5,0.5058047392577154,0.5058047392577154,hf,1,gas,hf/6-31g*,6,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
6,-0.5656346781444351,-0.5656346781444351,hf,1,gas,hf/6-31g*,7,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
7,-0.3670924741449031,-0.3670924741449031,hf,1,gas,hf/6-31g*,8,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
8,-0.06913440103464019,-0.06913440103464019,hf,1,gas,hf/6-31g*,9,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
9,0.16881741841334252,0.16881741841334252,hf,1,gas,hf/6-31g*,10,N#Cc1ccc(O)cc1,[H:10][c:4]1[c:5]([c:6]([c:8]([c:9]([c:3]1[C:2]#[N:1])[H:14])[H:13])[O:7][H:12])[H:11]
