,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.46123725715006303,RESP2,hf/6-31g*,1.0,0.0,N,hf,1,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
1,0.3224420564147303,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
2,0.06716844354105189,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
3,-0.1610562364194693,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
4,-0.13684588507519369,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
5,-0.09921045018741649,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
6,-0.1368549503839109,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
7,-0.16104843145304004,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
8,0.16727220903103585,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
9,0.14598563523201724,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
10,0.14012085933003127,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
11,0.1459706802656454,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
12,0.16729332685458154,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
0,-0.46625922718664503,RESP2,hf/6-31g*,1.0,0.05,N,hf,1,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
1,0.3271220337189918,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
2,0.06397618753580461,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
3,-0.15895851485709425,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
4,-0.13674385686478474,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:11][c:6]1[c:5]([c:4]([c:3]([c:8]([c:7]1[H:12])[H:13])[C:2]#[N:1])[H:9])[H:10],,
