,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-1.1061495657559393,RESP2,hf/6-31g*,1.0,0.0,N,hf,1,[H:2][N:1]([H:3])[H:4],,
1,0.3685979446881049,RESP2,hf/6-31g*,1.0,0.0,H,hf,2,[H:2][N:1]([H:3])[H:4],,
2,0.36881925406321114,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:2][N:1]([H:3])[H:4],,
3,0.3687323670046232,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:2][N:1]([H:3])[H:4],,
0,-1.1122283312769807,RESP2,hf/6-31g*,1.0,0.05,N,hf,1,[H:2][N:1]([H:3])[H:4],,
1,0.3706232565481133,RESP2,hf/6-31g*,1.0,0.05,H,hf,2,[H:2][N:1]([H:3])[H:4],,
2,0.37084605194310766,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:2][N:1]([H:3])[H:4],,
3,0.37075902278575973,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:2][N:1]([H:3])[H:4],,
0,-1.1183070967980224,RESP2,hf/6-31g*,1.0,0.1,N,hf,1,[H:2][N:1]([H:3])[H:4],,
1,0.3726485684081217,RESP2,hf/6-31g*,1.0,0.1,H,hf,2,[H:2][N:1]([H:3])[H:4],,
2,0.3728728498230043,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:2][N:1]([H:3])[H:4],,
3,0.3727856785668963,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:2][N:1]([H:3])[H:4],,
0,-1.124385862319064,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,1,[H:2][N:1]([H:3])[H:4],,
1,0.37467388026813014,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,2,[H:2][N:1]([H:3])[H:4],,
2,0.3748996477029009,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,3,[H:2][N:1]([H:3])[H:4],,
3,0.37481233434803296,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,4,[H:2][N:1]([H:3])[H:4],,
0,-1.1304646278401056,RESP2,hf/6-31g*,1.0,0.2,N,hf,1,[H:2][N:1]([H:3])[H:4],,
1,0.37669919212813846,RESP2,hf/6-31g*,1.0,0.2,H,hf,2,[H:2][N:1]([H:3])[H:4],,
2,0.3769264455827975,RESP2,hf/6-31g*,1.0,0.2,H,hf,3,[H:2][N:1]([H:3])[H:4],,
