,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.9834397838256272,RESP2,hf/6-31g*,1.0,0.0,N,hf,1,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
1,0.726487094510845,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
2,-0.5587501244551858,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
3,0.5227991132586365,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
4,-0.19146713140978483,RESP2,hf/6-31g*,1.0,0.0,F,hf,5,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
5,-0.19409545589137728,RESP2,hf/6-31g*,1.0,0.0,F,hf,6,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
6,-0.19428731657521114,RESP2,hf/6-31g*,1.0,0.0,F,hf,7,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
7,0.4499521746673414,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
8,0.42280142972036344,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
0,-0.982697994188037,RESP2,hf/6-31g*,1.0,0.05,N,hf,1,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
1,0.7282800798313815,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
2,-0.5629630061998618,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
3,0.5226058777408549,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
4,-0.19168745767875348,RESP2,hf/6-31g*,1.0,0.05,F,hf,5,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
5,-0.19424712862598106,RESP2,hf/6-31g*,1.0,0.05,F,hf,6,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
6,-0.1942992977011864,RESP2,hf/6-31g*,1.0,0.05,F,hf,7,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
7,0.45093624466524984,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
8,0.42407268215633354,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
0,-0.9819562045504469,RESP2,hf/6-31g*,1.0,0.1,N,hf,1,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
1,0.7300730651519182,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
2,-0.5671758879445378,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
3,0.5224126422230735,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
4,-0.19190778394772215,RESP2,hf/6-31g*,1.0,0.1,F,hf,5,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
5,-0.1943988013605849,RESP2,hf/6-31g*,1.0,0.1,F,hf,6,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
6,-0.19431127882716173,RESP2,hf/6-31g*,1.0,0.1,F,hf,7,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
7,0.4519203146631583,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
8,0.42534393459230363,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
0,-0.9812144149128568,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,1,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
1,0.7318660504724546,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,2,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
2,-0.5713887696892138,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,3,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
3,0.5222194067052919,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,4,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
4,-0.19212811021669077,RESP2,hf/6-31g*,1.0,0.15000000000000002,F,hf,5,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
5,-0.1945504740951887,RESP2,hf/6-31g*,1.0,0.15000000000000002,F,hf,6,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
6,-0.19432325995313696,RESP2,hf/6-31g*,1.0,0.15000000000000002,F,hf,7,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
7,0.4529043846610668,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,8,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
8,0.4266151870282737,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,9,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
0,-0.9804726252752666,RESP2,hf/6-31g*,1.0,0.2,N,hf,1,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
1,0.7336590357929912,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
2,-0.5756016514338897,RESP2,hf/6-31g*,1.0,0.2,O,hf,3,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
3,0.5220261711875105,RESP2,hf/6-31g*,1.0,0.2,C,hf,4,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
4,-0.19234843648565944,RESP2,hf/6-31g*,1.0,0.2,F,hf,5,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
5,-0.19470214682979256,RESP2,hf/6-31g*,1.0,0.2,F,hf,6,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
6,-0.19433524107911232,RESP2,hf/6-31g*,1.0,0.2,F,hf,7,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
7,0.4538884546589752,RESP2,hf/6-31g*,1.0,0.2,H,hf,8,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
8,0.4278864394642438,RESP2,hf/6-31g*,1.0,0.2,H,hf,9,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
0,-0.9797308356376764,RESP2,hf/6-31g*,1.0,0.25,N,hf,1,[H:8][N:1]([H:9])[C:2](=[O:3])[C:4]([F:5])([F:6])[F:7],,
