,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.9816744233561362,-0.9816744233561362,hf,1,gas,hf/6-31g*,1,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
1,0.6238244460954199,0.6238244460954199,hf,1,gas,hf/6-31g*,2,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
2,-0.4943681755598629,-0.4943681755598629,hf,1,gas,hf/6-31g*,3,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
3,0.014580285824846495,0.014580285824846495,hf,1,gas,hf/6-31g*,4,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
4,-0.4964043425561546,-0.4964043425561546,hf,1,gas,hf/6-31g*,5,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
5,0.6266830561582732,0.6266830561582732,hf,1,gas,hf/6-31g*,6,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
6,-0.9820287186532345,-0.9820287186532345,hf,1,gas,hf/6-31g*,7,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
7,-0.6315201392667589,-0.6315201392667589,hf,1,gas,hf/6-31g*,8,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
8,0.3906453705888196,0.3906453705888196,hf,1,gas,hf/6-31g*,9,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
9,0.3898616249740352,0.3898616249740352,hf,1,gas,hf/6-31g*,10,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
10,0.19598091095294692,0.19598091095294692,hf,1,gas,hf/6-31g*,11,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
11,0.14006437674926703,0.14006437674926703,hf,1,gas,hf/6-31g*,12,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
12,0.19672682576386658,0.19672682576386658,hf,1,gas,hf/6-31g*,13,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
13,0.3907065065237737,0.3907065065237737,hf,1,gas,hf/6-31g*,14,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
14,0.3893715634803158,0.3893715634803158,hf,1,gas,hf/6-31g*,15,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
15,0.23072037115929617,0.23072037115929617,hf,1,gas,hf/6-31g*,16,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
0,-0.9816744233549929,-0.9816744233549929,hf,,gas,hf/6-31g*,1,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
1,0.6238244460892315,0.6238244460892315,hf,,gas,hf/6-31g*,2,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
2,-0.49436817555415385,-0.49436817555415385,hf,,gas,hf/6-31g*,3,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
3,0.014580285819652927,0.014580285819652927,hf,,gas,hf/6-31g*,4,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
4,-0.49640434255083027,-0.49640434255083027,hf,,gas,hf/6-31g*,5,Nc1cccc(N)c1,[H:12][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:13])[N:7]([H:14])[H:15])[H:16])[N:1]([H:9])[H:10])[H:11]
