,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6182731296842002,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
1,0.808949985255401,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
2,-0.6740647509931886,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
3,0.1276114817022314,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
4,-0.2317940641952426,RESP2,hf/6-31g*,1.0,0.0,F,hf,5,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
5,0.4736555391034733,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
6,0.0569682197289933,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
7,0.0569467190825323,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
0,-0.6212823282945407,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
1,0.8115593416863279,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
2,-0.6752234739248255,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
3,0.1261706909784897,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
4,-0.2331073397274511,RESP2,hf/6-31g*,1.0,0.05,F,hf,5,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
5,0.4751917379846426,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
6,0.0583641665429198,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
7,0.058327204754437,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
0,-0.6242915269048812,RESP2,hf/6-31g*,1.0,0.1,O,hf,1,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
1,0.8141686981172551,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
2,-0.6763821968564624,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
3,0.1247299002547479,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
4,-0.2344206152596596,RESP2,hf/6-31g*,1.0,0.1,F,hf,5,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
5,0.4767279368658121,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
6,0.0597601133568462,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
7,0.0597076904263418,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
0,-0.6273007255152216,RESP2,hf/6-31g*,1.0,0.15,O,hf,1,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
1,0.8167780545481821,RESP2,hf/6-31g*,1.0,0.15,C,hf,2,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
2,-0.6775409197880993,RESP2,hf/6-31g*,1.0,0.15,O,hf,3,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
3,0.1232891095310062,RESP2,hf/6-31g*,1.0,0.15,C,hf,4,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
4,-0.235733890791868,RESP2,hf/6-31g*,1.0,0.15,F,hf,5,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
5,0.4782641357469815,RESP2,hf/6-31g*,1.0,0.15,H,hf,6,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
6,0.0611560601707726,RESP2,hf/6-31g*,1.0,0.15,H,hf,7,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
7,0.0610881760982465,RESP2,hf/6-31g*,1.0,0.15,H,hf,8,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
0,-0.6303099241255623,RESP2,hf/6-31g*,1.0,0.2,O,hf,1,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
1,0.8193874109791092,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
2,-0.6786996427197363,RESP2,hf/6-31g*,1.0,0.2,O,hf,3,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
3,0.1218483188072645,RESP2,hf/6-31g*,1.0,0.2,C,hf,4,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
4,-0.2370471663240765,RESP2,hf/6-31g*,1.0,0.2,F,hf,5,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
5,0.4798003346281509,RESP2,hf/6-31g*,1.0,0.2,H,hf,6,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[F:5],,
