,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.6100022337276668,-0.6100022337276668,hf,1,gas,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.735130589048391,0.735130589048391,hf,1,gas,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6587525818949045,-0.6587525818949045,hf,1,gas,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.24529776369739062,0.24529776369739062,hf,1,gas,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.6352013130703998,-0.6352013130703998,hf,1,gas,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.47523944546192687,0.47523944546192687,hf,1,gas,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.027215329411260033,0.027215329411260033,hf,1,gas,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.016805263734345915,0.016805263734345915,hf,1,gas,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.4041982579341351,0.4041982579341351,hf,1,gas,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.6100017248996825,-0.6100017248996825,hf,,gas,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.7351297808908089,0.7351297808908089,hf,,gas,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6587527521319638,-0.6587527521319638,hf,,gas,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.24529793502805958,0.24529793502805958,hf,,gas,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.6352018071752968,-0.6352018071752968,hf,,gas,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.47523956649372295,0.47523956649372295,hf,,gas,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.02721554494106818,0.02721554494106818,hf,,gas,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.016805524154800404,0.016805524154800404,hf,,gas,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.4041984640237707,0.4041984640237707,hf,,gas,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.6092724065360676,-0.6092724065360676,resp2,1,gas,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.7385854182906696,0.7385854182906696,resp2,1,gas,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6576222269631581,-0.6576222269631581,resp2,1,gas,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.20869593674167153,0.20869593674167153,resp2,1,gas,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.6298485568601873,-0.6298485568601873,resp2,1,gas,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.47533174457807187,0.47533174457807187,resp2,1,gas,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.038691074946842055,0.038691074946842055,resp2,1,gas,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.028180788566167916,0.028180788566167916,resp2,1,gas,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.40734145481246986,0.40734145481246986,resp2,1,gas,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.609271938929341,-0.609271938929341,resp2,,gas,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.7385847120585632,0.7385847120585632,resp2,,gas,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6576224018867488,-0.6576224018867488,resp2,,gas,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.2086960026484797,0.2086960026484797,resp2,,gas,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.6298490622355696,-0.6298490622355696,resp2,,gas,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.4753318500260775,0.4753318500260775,resp2,,gas,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.03869131138769617,0.03869131138769617,resp2,,gas,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.028181069067121804,0.028181069067121804,resp2,,gas,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.4073416924899822,0.4073416924899822,resp2,,gas,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.6711597054685507,-0.6711597054685507,hf,1,water,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.7791704412602883,0.7791704412602883,hf,1,water,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6891371963553201,-0.6891371963553201,hf,1,water,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.26953160671411897,0.26953160671411897,hf,1,water,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.7136633653992601,-0.7136633653992601,hf,1,water,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.5111923602576715,0.5111923602576715,hf,1,water,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.03433129173084933,0.03433129173084933,hf,1,water,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.028795922218904684,0.028795922218904684,hf,1,water,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.4508935754430129,0.4508935754430129,hf,1,water,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.6711595000298526,-0.6711595000298526,hf,,water,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.7791701255932598,0.7791701255932598,hf,,water,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6891372246714816,-0.6891372246714816,hf,,water,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.26953177413875035,0.26953177413875035,hf,,water,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.7136634839375858,-0.7136634839375858,hf,,water,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.5111924050353942,0.5111924050353942,hf,,water,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.034331305292256455,0.034331305292256455,hf,,water,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.02879597250614042,0.02879597250614042,hf,,water,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.45089355981087487,0.45089355981087487,hf,,water,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.6701116805319044,-0.6701116805319044,resp2,1,water,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.7791931365920497,0.7791931365920497,resp2,1,water,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6874616838518466,-0.6874616838518466,resp2,1,water,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.2416736853083211,0.2416736853083211,resp2,1,water,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.7109353137137857,-0.7109353137137857,resp2,1,water,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.5113706888056332,0.5113706888056332,resp2,1,water,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.04384819417771012,0.04384819417771012,resp2,1,water,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.0382183151855998,0.0382183151855998,resp2,1,water,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.4541867935817542,0.4541867935817542,resp2,1,water,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
0,-0.67011149064196,-0.67011149064196,resp2,,water,hf/6-31g*,1,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
1,0.779192843194168,0.779192843194168,resp2,,water,hf/6-31g*,2,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
2,-0.6874617179535908,-0.6874617179535908,resp2,,water,hf/6-31g*,3,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
3,0.24167385637486113,0.24167385637486113,resp2,,water,hf/6-31g*,4,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
4,-0.7109354493783023,-0.7109354493783023,resp2,,water,hf/6-31g*,5,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
5,0.5113707325109085,0.5113707325109085,resp2,,water,hf/6-31g*,6,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
6,0.04384820594673919,0.04384820594673919,resp2,,water,hf/6-31g*,7,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
7,0.03821836253024405,0.03821836253024405,resp2,,water,hf/6-31g*,8,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
8,0.45418679535039863,0.45418679535039863,resp2,,water,hf/6-31g*,9,O=C(O)CO,[H:7][C:4]([H:8])([C:2](=[O:1])[O:3][H:6])[O:5][H:9]
