,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.6039987652114522,-0.6039987652114522,hf,1,gas,hf/6-31g*,1,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
1,0.7776928851084822,0.7776928851084822,hf,1,gas,hf/6-31g*,2,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
2,-0.6661813839015847,-0.6661813839015847,hf,1,gas,hf/6-31g*,3,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
3,-0.11994189262729527,-0.11994189262729527,hf,1,gas,hf/6-31g*,4,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
4,-0.05634032289977925,-0.05634032289977925,hf,1,gas,hf/6-31g*,5,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
5,-0.349552929325728,-0.349552929325728,hf,1,gas,hf/6-31g*,6,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
6,0.47083859905459,0.47083859905459,hf,1,gas,hf/6-31g*,7,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
7,-0.22701998734203277,-0.22701998734203277,hf,1,gas,hf/6-31g*,8,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
8,-0.34878359683616067,-0.34878359683616067,hf,1,gas,hf/6-31g*,9,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
9,-0.05760725389873577,-0.05760725389873577,hf,1,gas,hf/6-31g*,10,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
10,0.4702002965217158,0.4702002965217158,hf,1,gas,hf/6-31g*,11,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
11,0.16367139471025494,0.16367139471025494,hf,1,gas,hf/6-31g*,12,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
12,0.19223684680791187,0.19223684680791187,hf,1,gas,hf/6-31g*,13,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
13,0.19202543392438648,0.19202543392438648,hf,1,gas,hf/6-31g*,14,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
14,0.1640155685785314,0.1640155685785314,hf,1,gas,hf/6-31g*,15,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
0,-0.6039987652113213,-0.6039987652113213,hf,,gas,hf/6-31g*,1,O=C(O)c1ccc(F)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:15])[H:14])[F:8])[H:13]
