,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.6054441996178582,-0.6054441996178582,hf,1,gas,hf/6-31g*,1,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
1,0.7779081417955208,0.7779081417955208,hf,1,gas,hf/6-31g*,2,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
2,-0.6907470192571996,-0.6907470192571996,hf,1,gas,hf/6-31g*,3,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
3,-0.11369244532689857,-0.11369244532689857,hf,1,gas,hf/6-31g*,4,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
4,-0.11143976445082691,-0.11143976445082691,hf,1,gas,hf/6-31g*,5,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
5,-0.3144972288492755,-0.3144972288492755,hf,1,gas,hf/6-31g*,6,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
6,0.5480481057368196,0.5480481057368196,hf,1,gas,hf/6-31g*,7,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
7,-0.6566829712418998,-0.6566829712418998,hf,1,gas,hf/6-31g*,8,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
8,-0.46208673520438176,-0.46208673520438176,hf,1,gas,hf/6-31g*,9,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
9,-0.019060550618523367,-0.019060550618523367,hf,1,gas,hf/6-31g*,10,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
10,0.4764585187121459,0.4764585187121459,hf,1,gas,hf/6-31g*,11,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
11,0.16842244655046223,0.16842244655046223,hf,1,gas,hf/6-31g*,12,O=C(O)c1ccc(O)cc1,[H:12][c:5]1[c:6]([c:7]([c:9]([c:10]([c:4]1[C:2](=[O:1])[O:3][H:11])[H:16])[H:15])[O:8][H:14])[H:13]
