,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5897020819465443,-0.5897020819465443,hf,1,gas,hf/6-31g*,1,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
1,0.7781874611745082,0.7781874611745082,hf,1,gas,hf/6-31g*,2,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
2,-0.646990414324401,-0.646990414324401,hf,1,gas,hf/6-31g*,3,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
3,-0.18948773278217595,-0.18948773278217595,hf,1,gas,hf/6-31g*,4,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
4,-0.07476702352329048,-0.07476702352329048,hf,1,gas,hf/6-31g*,5,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
5,-0.24483184042044265,-0.24483184042044265,hf,1,gas,hf/6-31g*,6,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
6,-0.015324471998690248,-0.015324471998690248,hf,1,gas,hf/6-31g*,7,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
7,-0.35688159926791996,-0.35688159926791996,hf,1,gas,hf/6-31g*,8,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
8,0.4240325901398196,0.4240325901398196,hf,1,gas,hf/6-31g*,9,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
9,-0.19624568740188905,-0.19624568740188905,hf,1,gas,hf/6-31g*,10,O=C(O)c1ccccc1F,[H:13][c:6]1[c:7]([c:8]([c:9]([c:4]([c:5]1[H:12])[C:2](=[O:1])[O:3][H:11])[F:10])[H:15])[H:14]
