,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.588433208996335,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
1,0.6587996404936739,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
2,-0.19722216601728734,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
3,-0.018885612452997007,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
4,-0.016174002030781568,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
5,-0.20130757253441747,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
6,0.06692969273622042,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
7,0.06999564879296293,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
8,0.022446672646232985,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
9,0.02186901002342435,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
10,0.021566192556885473,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
11,0.02100232839762534,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:7][C:3]1([C:2](=[O:1])[C:6]([C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:8],,
