,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.6412693268870973,-0.6412693268870973,hf,1,gas,hf/6-31g*,1,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
1,0.6864436156286146,0.6864436156286146,hf,1,gas,hf/6-31g*,2,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
2,-0.08098635522811214,-0.08098635522811214,hf,1,gas,hf/6-31g*,3,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
3,0.04389529068099638,0.04389529068099638,hf,1,gas,hf/6-31g*,4,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
4,-0.14388477746166875,-0.14388477746166875,hf,1,gas,hf/6-31g*,5,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
5,0.13328704180553338,0.13328704180553338,hf,1,gas,hf/6-31g*,6,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
6,-0.6132446403775541,-0.6132446403775541,hf,1,gas,hf/6-31g*,7,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
7,0.0442114037411,0.0442114037411,hf,1,gas,hf/6-31g*,8,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
8,0.03939052462893308,0.03939052462893308,hf,1,gas,hf/6-31g*,9,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
9,0.008490014923849017,0.008490014923849017,hf,1,gas,hf/6-31g*,10,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
10,0.011266724368055423,0.011266724368055423,hf,1,gas,hf/6-31g*,11,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
11,0.05639295413338516,0.05639295413338516,hf,1,gas,hf/6-31g*,12,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
12,0.04941847309283709,0.04941847309283709,hf,1,gas,hf/6-31g*,13,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
13,0.03440747934517994,0.03440747934517994,hf,1,gas,hf/6-31g*,14,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
14,0.030472121868217128,0.030472121868217128,hf,1,gas,hf/6-31g*,15,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
15,0.34205875763701377,0.34205875763701377,hf,1,gas,hf/6-31g*,16,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
0,-0.6412694486361891,-0.6412694486361891,hf,,gas,hf/6-31g*,1,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
1,0.6864437503587504,0.6864437503587504,hf,,gas,hf/6-31g*,2,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
2,-0.08098633608516762,-0.08098633608516762,hf,,gas,hf/6-31g*,3,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
3,0.04389549977406556,0.04389549977406556,hf,,gas,hf/6-31g*,4,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
4,-0.1438846623298513,-0.1438846623298513,hf,,gas,hf/6-31g*,5,O=C1CCCCN1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9]
