,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6412911582558024,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
1,0.6864217842599094,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
2,-0.0810081865968173,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
3,0.04387345931229121,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
4,-0.14390660883037393,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
5,0.1332652104368282,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
6,-0.6132664717462593,RESP2,hf/6-31g*,1.0,0.0,N,hf,7,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
7,0.04418957237239483,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
8,0.03936869326022791,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
9,0.008468183555143846,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
10,0.011244892999350253,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
11,0.05637112276467999,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
12,0.04939664172413192,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
13,0.03438564797647477,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
14,0.030450290499511957,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
15,0.3420369262683086,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
0,-0.6461234398173933,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
1,0.6897433584631332,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
2,-0.08332706754419317,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
3,0.046310596594521206,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
4,-0.14318127126104646,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
5,0.1332287327877443,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
6,-0.6152590577061541,RESP2,hf/6-31g*,1.0,0.05,N,hf,7,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
7,0.044725824767375896,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
8,0.04001453976351469,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
9,0.008090680689832217,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
10,0.010661277017155222,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
11,0.056083540784210635,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
12,0.04939055285264136,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:6]([C:5]([C:4]1([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16])[H:9],,
