,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.6102249335181307,-0.6102249335181307,hf,1,gas,hf/6-31g*,1,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
1,0.8212869327835143,0.8212869327835143,hf,1,gas,hf/6-31g*,2,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
2,-0.14498012091622267,-0.14498012091622267,hf,1,gas,hf/6-31g*,3,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
3,-0.074921149513909,-0.074921149513909,hf,1,gas,hf/6-31g*,4,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
4,0.17228792015653668,0.17228792015653668,hf,1,gas,hf/6-31g*,5,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
5,-0.4596589108713473,-0.4596589108713473,hf,1,gas,hf/6-31g*,6,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
6,0.06014680363584582,0.06014680363584582,hf,1,gas,hf/6-31g*,7,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
7,0.059658092904400405,0.059658092904400405,hf,1,gas,hf/6-31g*,8,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
8,0.044925141808239685,0.044925141808239685,hf,1,gas,hf/6-31g*,9,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
9,0.04492817248011436,0.04492817248011436,hf,1,gas,hf/6-31g*,10,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
10,0.038376768268167355,0.038376768268167355,hf,1,gas,hf/6-31g*,11,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
11,0.048176854441334294,0.048176854441334294,hf,1,gas,hf/6-31g*,12,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
0,-0.6102249335180077,-0.6102249335180077,hf,,gas,hf/6-31g*,1,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
1,0.8212869327843275,0.8212869327843275,hf,,gas,hf/6-31g*,2,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
2,-0.14498012092223184,-0.14498012092223184,hf,,gas,hf/6-31g*,3,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
3,-0.0749211495153394,-0.0749211495153394,hf,,gas,hf/6-31g*,4,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
4,0.1722879201611826,0.1722879201611826,hf,,gas,hf/6-31g*,5,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
5,-0.4596589108713886,-0.4596589108713886,hf,,gas,hf/6-31g*,6,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
6,0.06014680363843714,0.06014680363843714,hf,,gas,hf/6-31g*,7,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
7,0.05965809290480293,0.05965809290480293,hf,,gas,hf/6-31g*,8,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
8,0.04492514181253406,0.04492514181253406,hf,,gas,hf/6-31g*,9,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
9,0.04492817247783511,0.04492817247783511,hf,,gas,hf/6-31g*,10,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
10,0.03837676826879696,0.03837676826879696,hf,,gas,hf/6-31g*,11,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
11,0.04817685443758536,0.04817685443758536,hf,,gas,hf/6-31g*,12,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
0,-0.6138983116645935,-0.6138983116645935,resp2,1,gas,hf/6-31g*,1,O=C1CCCO1,[H:7][C:3]1([C:2](=[O:1])[O:6][C:5]([C:4]1([H:9])[H:10])([H:11])[H:12])[H:8]
