,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.480636763928697,-0.480636763928697,hf,1,gas,hf/6-31g*,1,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
1,0.47284103281247025,0.47284103281247025,hf,1,gas,hf/6-31g*,2,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
2,0.07604313268623614,0.07604313268623614,hf,1,gas,hf/6-31g*,3,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
3,-0.27363532452393,-0.27363532452393,hf,1,gas,hf/6-31g*,4,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
4,-0.03900232144009913,-0.03900232144009913,hf,1,gas,hf/6-31g*,5,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
5,-0.35146638631030436,-0.35146638631030436,hf,1,gas,hf/6-31g*,6,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
6,0.46889990393761494,0.46889990393761494,hf,1,gas,hf/6-31g*,7,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
7,-0.5729897046740506,-0.5729897046740506,hf,1,gas,hf/6-31g*,8,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
8,-0.38183296800495403,-0.38183296800495403,hf,1,gas,hf/6-31g*,9,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
9,-0.006399411600531029,-0.006399411600531029,hf,1,gas,hf/6-31g*,10,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
10,0.16859185050516426,0.16859185050516426,hf,1,gas,hf/6-31g*,11,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
11,0.1381114791774792,0.1381114791774792,hf,1,gas,hf/6-31g*,12,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
12,0.19238107532438364,0.19238107532438364,hf,1,gas,hf/6-31g*,13,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
13,0.3943859371070263,0.3943859371070263,hf,1,gas,hf/6-31g*,14,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
14,0.19654240872145515,0.19654240872145515,hf,1,gas,hf/6-31g*,15,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
0,-0.48063677823007406,-0.48063677823007406,hf,,gas,hf/6-31g*,1,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
1,0.4728410736613312,0.4728410736613312,hf,,gas,hf/6-31g*,2,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
2,0.07604306640981351,0.07604306640981351,hf,,gas,hf/6-31g*,3,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
3,-0.27363542392775064,-0.27363542392775064,hf,,gas,hf/6-31g*,4,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
4,-0.039002285128426156,-0.039002285128426156,hf,,gas,hf/6-31g*,5,O=Cc1cccc(O)c1,[H:12][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:13])[O:8][H:14])[H:15])[C:2](=[O:1])[H:10])[H:11]
