,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.129527936579906,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:4][O:3][N:2]=[O:1],,
1,0.0927273851018236,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:4][O:3][N:2]=[O:1],,
2,-0.3506785235535332,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:4][O:3][N:2]=[O:1],,
3,0.3874790750316156,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:4][O:3][N:2]=[O:1],,
0,-0.1320967449119606,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:4][O:3][N:2]=[O:1],,
1,0.094479849177302,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:4][O:3][N:2]=[O:1],,
2,-0.3519492787963038,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:4][O:3][N:2]=[O:1],,
3,0.3895661745309624,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:4][O:3][N:2]=[O:1],,
0,-0.1346655532440153,RESP2,hf/6-31g*,1.0,0.1,O,hf,1,[H:4][O:3][N:2]=[O:1],,
1,0.0962323132527803,RESP2,hf/6-31g*,1.0,0.1,N,hf,2,[H:4][O:3][N:2]=[O:1],,
2,-0.3532200340390743,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:4][O:3][N:2]=[O:1],,
3,0.3916532740303092,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:4][O:3][N:2]=[O:1],,
0,-0.1372343615760699,RESP2,hf/6-31g*,1.0,0.15,O,hf,1,[H:4][O:3][N:2]=[O:1],,
1,0.0979847773282586,RESP2,hf/6-31g*,1.0,0.15,N,hf,2,[H:4][O:3][N:2]=[O:1],,
2,-0.3544907892818447,RESP2,hf/6-31g*,1.0,0.15,O,hf,3,[H:4][O:3][N:2]=[O:1],,
3,0.393740373529656,RESP2,hf/6-31g*,1.0,0.15,H,hf,4,[H:4][O:3][N:2]=[O:1],,
0,-0.1398031699081245,RESP2,hf/6-31g*,1.0,0.2,O,hf,1,[H:4][O:3][N:2]=[O:1],,
1,0.099737241403737,RESP2,hf/6-31g*,1.0,0.2,N,hf,2,[H:4][O:3][N:2]=[O:1],,
2,-0.3557615445246153,RESP2,hf/6-31g*,1.0,0.2,O,hf,3,[H:4][O:3][N:2]=[O:1],,
3,0.3958274730290028,RESP2,hf/6-31g*,1.0,0.2,H,hf,4,[H:4][O:3][N:2]=[O:1],,
