,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.47990831274100004,-0.47990831274100004,hf,1,gas,hf/6-31g*,1,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
1,0.925073605596547,0.925073605596547,hf,1,gas,hf/6-31g*,2,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
2,-0.3920880476731661,-0.3920880476731661,hf,1,gas,hf/6-31g*,3,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
3,-0.5160340753799336,-0.5160340753799336,hf,1,gas,hf/6-31g*,4,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
4,0.46256605408842283,0.46256605408842283,hf,1,gas,hf/6-31g*,5,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
0,-0.47990831274096846,-0.47990831274096846,hf,,gas,hf/6-31g*,1,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
1,0.925073605596473,0.925073605596473,hf,,gas,hf/6-31g*,2,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
2,-0.3920880476731442,-0.3920880476731442,hf,,gas,hf/6-31g*,3,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
3,-0.5160340753799043,-0.5160340753799043,hf,,gas,hf/6-31g*,4,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
4,0.4625660540884148,0.4625660540884148,hf,,gas,hf/6-31g*,5,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
0,-0.4839773123283172,-0.4839773123283172,resp2,1,gas,hf/6-31g*,1,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
1,0.9360513985959417,0.9360513985959417,resp2,1,gas,hf/6-31g*,2,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
2,-0.3965894389299704,-0.3965894389299704,resp2,1,gas,hf/6-31g*,3,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
3,-0.5187025584612857,-0.5187025584612857,resp2,1,gas,hf/6-31g*,4,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
4,0.46285697980238927,0.46285697980238927,resp2,1,gas,hf/6-31g*,5,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
0,-0.4839773123283498,-0.4839773123283498,resp2,,gas,hf/6-31g*,1,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
1,0.9360513985960277,0.9360513985960277,resp2,,gas,hf/6-31g*,2,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
2,-0.3965894389299964,-0.3965894389299964,resp2,,gas,hf/6-31g*,3,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
3,-0.5187025584613257,-0.5187025584613257,resp2,,gas,hf/6-31g*,4,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
4,0.46285697980240115,0.46285697980240115,resp2,,gas,hf/6-31g*,5,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
0,-0.5040577898560621,-0.5040577898560621,hf,1,water,hf/6-31g*,1,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
1,0.9782567995990864,0.9782567995990864,hf,1,water,hf/6-31g*,2,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
2,-0.44683691467694486,-0.44683691467694486,hf,1,water,hf/6-31g*,3,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
3,-0.5313460859184082,-0.5313460859184082,hf,1,water,hf/6-31g*,4,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
4,0.5036100514071569,0.5036100514071569,hf,1,water,hf/6-31g*,5,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
0,-0.504057789856099,-0.504057789856099,hf,,water,hf/6-31g*,1,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
1,0.9782567995991818,0.9782567995991818,hf,,water,hf/6-31g*,2,O=[N+]([O-])O,[H:5][O:4][N+:2](=[O:1])[O-:3]
