,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.47983015751917407,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:5][O:4][N+:2](=[O:1])[O-:3],,
1,0.925151760818373,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:5][O:4][N+:2](=[O:1])[O-:3],,
2,-0.3920098924513401,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:5][O:4][N+:2](=[O:1])[O-:3],,
3,-0.5159559201581077,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:5][O:4][N+:2](=[O:1])[O-:3],,
4,0.4626442093102488,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:5][O:4][N+:2](=[O:1])[O-:3],,
0,-0.48103779974156674,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:5][O:4][N+:2](=[O:1])[O-:3],,
1,0.9278107521518604,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:5][O:4][N+:2](=[O:1])[O-:3],,
2,-0.3947475041681686,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:5][O:4][N+:2](=[O:1])[O-:3],,
3,-0.5167216890516709,RESP2,hf/6-31g*,1.0,0.05,O,hf,4,[H:5][O:4][N+:2](=[O:1])[O-:3],,
4,0.46469624080954586,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:5][O:4][N+:2](=[O:1])[O-:3],,
0,-0.48224544196395946,RESP2,hf/6-31g*,1.0,0.1,O,hf,1,[H:5][O:4][N+:2](=[O:1])[O-:3],,
1,0.9304697434853478,RESP2,hf/6-31g*,1.0,0.1,N,hf,2,[H:5][O:4][N+:2](=[O:1])[O-:3],,
2,-0.39748511588499713,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:5][O:4][N+:2](=[O:1])[O-:3],,
3,-0.5174874579452342,RESP2,hf/6-31g*,1.0,0.1,O,hf,4,[H:5][O:4][N+:2](=[O:1])[O-:3],,
4,0.466748272308843,RESP2,hf/6-31g*,1.0,0.1,H,hf,5,[H:5][O:4][N+:2](=[O:1])[O-:3],,
0,-0.48345308418635213,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,1,[H:5][O:4][N+:2](=[O:1])[O-:3],,
1,0.9331287348188352,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,2,[H:5][O:4][N+:2](=[O:1])[O-:3],,
2,-0.4002227276018257,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,3,[H:5][O:4][N+:2](=[O:1])[O-:3],,
3,-0.5182532268387976,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,4,[H:5][O:4][N+:2](=[O:1])[O-:3],,
4,0.46880030380814014,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,5,[H:5][O:4][N+:2](=[O:1])[O-:3],,
0,-0.4846607264087448,RESP2,hf/6-31g*,1.0,0.2,O,hf,1,[H:5][O:4][N+:2](=[O:1])[O-:3],,
