,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.415336920669118,-0.415336920669118,hf,1,gas,hf/6-31g*,1,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
1,0.6202987951454827,0.6202987951454827,hf,1,gas,hf/6-31g*,2,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
2,-0.41489192179880213,-0.41489192179880213,hf,1,gas,hf/6-31g*,3,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
3,0.5445038816725738,0.5445038816725738,hf,1,gas,hf/6-31g*,4,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
4,-0.6472471611308681,-0.6472471611308681,hf,1,gas,hf/6-31g*,5,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
5,0.5509617352512785,0.5509617352512785,hf,1,gas,hf/6-31g*,6,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
6,-0.7075762176968332,-0.7075762176968332,hf,1,gas,hf/6-31g*,7,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
7,0.551095629055413,0.551095629055413,hf,1,gas,hf/6-31g*,8,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
8,-0.6477640643183502,-0.6477640643183502,hf,1,gas,hf/6-31g*,9,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
9,0.24419422809350189,0.24419422809350189,hf,1,gas,hf/6-31g*,10,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
10,0.03915390518228795,0.03915390518228795,hf,1,gas,hf/6-31g*,11,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
11,0.038803935885439074,0.038803935885439074,hf,1,gas,hf/6-31g*,12,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
12,0.24501420973734594,0.24501420973734594,hf,1,gas,hf/6-31g*,13,O=[N+]([O-])c1ccncc1,[H:10][c:5]1[c:6]([n:7][c:8]([c:9]([c:4]1[N+:2](=[O:1])[O-:3])[H:13])[H:12])[H:11]
