,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.6155576054257259,-0.6155576054257259,hf,1,gas,hf/6-31g*,1,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
1,0.8137342531283139,0.8137342531283139,hf,1,gas,hf/6-31g*,2,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
2,-0.5021856557411264,-0.5021856557411264,hf,1,gas,hf/6-31g*,3,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
3,-0.07773601211813382,-0.07773601211813382,hf,1,gas,hf/6-31g*,4,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
4,0.04708063588096512,0.04708063588096512,hf,1,gas,hf/6-31g*,5,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
5,-0.17592668319495164,-0.17592668319495164,hf,1,gas,hf/6-31g*,6,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
6,0.7699582992655387,0.7699582992655387,hf,1,gas,hf/6-31g*,7,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
7,-0.5715429439420624,-0.5715429439420624,hf,1,gas,hf/6-31g*,8,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
8,-0.6537574143764199,-0.6537574143764199,hf,1,gas,hf/6-31g*,9,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
9,0.3688294151506945,0.3688294151506945,hf,1,gas,hf/6-31g*,10,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
10,0.21841991037803107,0.21841991037803107,hf,1,gas,hf/6-31g*,11,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
11,0.3790288395693201,0.3790288395693201,hf,1,gas,hf/6-31g*,12,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
0,-0.6155576054253821,-0.6155576054253821,hf,,gas,hf/6-31g*,1,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
1,0.8137342531266223,0.8137342531266223,hf,,gas,hf/6-31g*,2,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
2,-0.5021856557390196,-0.5021856557390196,hf,,gas,hf/6-31g*,3,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
3,-0.0777360121202445,-0.0777360121202445,hf,,gas,hf/6-31g*,4,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
4,0.047080635882708013,0.047080635882708013,hf,,gas,hf/6-31g*,5,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
5,-0.17592668319523452,-0.17592668319523452,hf,,gas,hf/6-31g*,6,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
6,0.7699582992640919,0.7699582992640919,hf,,gas,hf/6-31g*,7,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
7,-0.5715429439417835,-0.5715429439417835,hf,,gas,hf/6-31g*,8,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
8,-0.6537574143751599,-0.6537574143751599,hf,,gas,hf/6-31g*,9,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
9,0.36882941515021733,0.36882941515021733,hf,,gas,hf/6-31g*,10,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
10,0.21841991037845107,0.21841991037845107,hf,,gas,hf/6-31g*,11,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
11,0.3790288395691781,0.3790288395691781,hf,,gas,hf/6-31g*,12,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
0,-0.6164796817331114,-0.6164796817331114,resp2,1,gas,hf/6-31g*,1,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
1,0.8481085383568057,0.8481085383568057,resp2,1,gas,hf/6-31g*,2,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
2,-0.5652702362760688,-0.5652702362760688,resp2,1,gas,hf/6-31g*,3,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
3,-0.02634727581157847,-0.02634727581157847,resp2,1,gas,hf/6-31g*,4,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
4,0.007614516615353139,0.007614516615353139,resp2,1,gas,hf/6-31g*,5,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
5,-0.16803428478407167,-0.16803428478407167,resp2,1,gas,hf/6-31g*,6,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
6,0.8000583474338441,0.8000583474338441,resp2,1,gas,hf/6-31g*,7,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
7,-0.5733771023724018,-0.5733771023724018,resp2,1,gas,hf/6-31g*,8,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
8,-0.6973368508089798,-0.6973368508089798,resp2,1,gas,hf/6-31g*,9,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
9,0.38763861630715835,0.38763861630715835,resp2,1,gas,hf/6-31g*,10,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
10,0.21074696833439244,0.21074696833439244,resp2,1,gas,hf/6-31g*,11,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
11,0.392446722832834,0.392446722832834,resp2,1,gas,hf/6-31g*,12,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
0,-0.6164796817335961,-0.6164796817335961,resp2,,gas,hf/6-31g*,1,O=c1[nH]cc(F)c(=O)[nH]1,[H:11][C:4]1=[C:5]([C:7](=[O:8])[N:9]([C:2](=[O:1])[N:3]1[H:10])[H:12])[F:6]
