,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5665791848122096,-0.5665791848122096,hf,1,gas,hf/6-31g*,1,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
1,0.07719137741726761,0.07719137741726761,hf,1,gas,hf/6-31g*,2,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
2,0.5831629920450246,0.5831629920450246,hf,1,gas,hf/6-31g*,3,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
3,-0.20823180814668754,-0.20823180814668754,hf,1,gas,hf/6-31g*,4,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
4,-0.2150123037341221,-0.2150123037341221,hf,1,gas,hf/6-31g*,5,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
5,-0.20757927823447436,-0.20757927823447436,hf,1,gas,hf/6-31g*,6,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
6,0.39313850844217973,0.39313850844217973,hf,1,gas,hf/6-31g*,7,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
7,0.06630985176934596,0.06630985176934596,hf,1,gas,hf/6-31g*,8,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
8,0.07794683289269798,0.07794683289269798,hf,1,gas,hf/6-31g*,9,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
0,-0.5665792189008431,-0.5665792189008431,hf,,gas,hf/6-31g*,1,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
1,0.07719133307383502,0.07719133307383502,hf,,gas,hf/6-31g*,2,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
2,0.5831631909675971,0.5831631909675971,hf,,gas,hf/6-31g*,3,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
3,-0.2082318984998133,-0.2082318984998133,hf,,gas,hf/6-31g*,4,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
4,-0.21501244508342815,-0.21501244508342815,hf,,gas,hf/6-31g*,5,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
5,-0.20757924281567353,-0.20757924281567353,hf,,gas,hf/6-31g*,6,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
6,0.39313849328202377,0.39313849328202377,hf,,gas,hf/6-31g*,7,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
7,0.06630986129093577,0.06630986129093577,hf,,gas,hf/6-31g*,8,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
8,0.07794691500622142,0.07794691500622142,hf,,gas,hf/6-31g*,9,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
0,-0.5582985319357895,-0.5582985319357895,resp2,1,gas,hf/6-31g*,1,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
1,0.04559238304538362,0.04559238304538362,resp2,1,gas,hf/6-31g*,2,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
2,0.5905355676428302,0.5905355676428302,resp2,1,gas,hf/6-31g*,3,OCC(F)(F)F,[H:8][C:2]([H:9])([C:3]([F:4])([F:5])[F:6])[O:1][H:7]
