,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.4284363551677805,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.4285713265675186,RESP2,hf/6-31g*,1.0,0.0,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4284305767262621,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.428577105009037,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.4305539180220348,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.4306918800808998,RESP2,hf/6-31g*,1.0,0.05,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.43054914248856696,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.43069665561436754,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.43267148087628915,RESP2,hf/6-31g*,1.0,0.1,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.432812433594281,RESP2,hf/6-31g*,1.0,0.1,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4326677082508719,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.4328162062196982,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.4347890437305434,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.43493298710766215,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4347862740131768,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.43493575682502883,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.43690660658479774,RESP2,hf/6-31g*,1.0,0.2,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.4370535406210434,RESP2,hf/6-31g*,1.0,0.2,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4369048397754818,RESP2,hf/6-31g*,1.0,0.2,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.4370553074303594,RESP2,hf/6-31g*,1.0,0.2,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.439024169439052,RESP2,hf/6-31g*,1.0,0.25,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.43917409413442454,RESP2,hf/6-31g*,1.0,0.25,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4390234055377866,RESP2,hf/6-31g*,1.0,0.25,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.43917485803568995,RESP2,hf/6-31g*,1.0,0.25,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.44114173229330633,RESP2,hf/6-31g*,1.0,0.30000000000000004,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.4412946476478058,RESP2,hf/6-31g*,1.0,0.30000000000000004,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4411419713000915,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.44129440864102054,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.4432592951475606,RESP2,hf/6-31g*,1.0,0.35000000000000003,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.4434152011611869,RESP2,hf/6-31g*,1.0,0.35000000000000003,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4432605370623964,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.44341395924635113,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.4453768580018149,RESP2,hf/6-31g*,1.0,0.4,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.44553575467456813,RESP2,hf/6-31g*,1.0,0.4,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.44537910282470133,RESP2,hf/6-31g*,1.0,0.4,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.4455335098516817,RESP2,hf/6-31g*,1.0,0.4,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.4474944208560692,RESP2,hf/6-31g*,1.0,0.45,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.4476563081879493,RESP2,hf/6-31g*,1.0,0.45,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.44749766858700624,RESP2,hf/6-31g*,1.0,0.45,H,hf,3,[H:3][O:1][O:2][H:4],,
3,0.44765306045701236,RESP2,hf/6-31g*,1.0,0.45,H,hf,4,[H:3][O:1][O:2][H:4],,
0,-0.4496119837103235,RESP2,hf/6-31g*,1.0,0.5,O,hf,1,[H:3][O:1][O:2][H:4],,
1,-0.44977686170133047,RESP2,hf/6-31g*,1.0,0.5,O,hf,2,[H:3][O:1][O:2][H:4],,
2,0.4496162343493111,RESP2,hf/6-31g*,1.0,0.5,H,hf,3,[H:3][O:1][O:2][H:4],,
