,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6670276840377999,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
1,0.42416238897372033,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
2,-0.21508479929001267,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
3,-0.3752327786653837,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
4,0.425614934575606,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
5,-0.6703140238538549,RESP2,hf/6-31g*,1.0,0.0,O,hf,6,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
6,-0.21438594224786434,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
7,-0.3755847445394884,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
8,0.4566756019513492,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
9,0.19334812578686245,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
