,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6670276840377999,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
1,0.4241623889737203,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
2,-0.2150847992900126,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
3,-0.3752327786653837,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
4,0.425614934575606,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
5,-0.6703140238538549,RESP2,hf/6-31g*,1.0,0.0,O,hf,6,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
6,-0.2143859422478643,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
7,-0.3755847445394884,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
8,0.4566756019513492,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
9,0.1933481257868624,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
10,0.181944551373153,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
11,0.4588446236449544,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
12,0.194270772633134,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
13,0.1827689736956244,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
0,-0.668444652557588,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
1,0.4243598921475886,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
2,-0.2162040208627758,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
3,-0.3748179627577329,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
4,0.4253711680921734,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
5,-0.6704056851785644,RESP2,hf/6-31g*,1.0,0.05,O,hf,6,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
6,-0.2144748398735233,RESP2,hf/6-31g*,1.0,0.05,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
7,-0.3755672588313936,RESP2,hf/6-31g*,1.0,0.05,C,hf,8,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
8,0.4576040997605266,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
9,0.1937087136169783,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
10,0.1823406878744782,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
11,0.4590692546256958,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
12,0.194403952339228,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
13,0.1830566516049086,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
0,-0.669861621077376,RESP2,hf/6-31g*,1.0,0.1,O,hf,1,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
1,0.4245573953214568,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
2,-0.2173232424355389,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
3,-0.3744031468500822,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
4,0.4251274016087409,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
5,-0.6704973465032738,RESP2,hf/6-31g*,1.0,0.1,O,hf,6,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
6,-0.2145637374991824,RESP2,hf/6-31g*,1.0,0.1,C,hf,7,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
7,-0.3755497731232989,RESP2,hf/6-31g*,1.0,0.1,C,hf,8,[H:11][c:4]1[c:3]([c:2]([c:8]([c:7]([c:5]1[O:6][H:12])[H:13])[H:14])[O:1][H:9])[H:10],,
