,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6478454454977349,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
1,0.602860543107519,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
2,-0.4714157404727181,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
3,0.0567885091779336,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
4,-0.549228266828683,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
5,0.6182084890691687,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
6,-0.6428531413639893,RESP2,hf/6-31g*,1.0,0.0,O,hf,7,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
7,-0.6351416909462566,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
8,0.4441354446934389,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
9,0.2125548443012662,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
10,0.1374582711879856,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
11,0.1973434298854517,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
12,0.4402875442302675,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:11][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:12])[O:7][H:13])[H:14])[O:1][H:9])[H:10],,
