,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.35987873877254534,-0.35987873877254534,hf,1,gas,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.17971125952471834,0.17971125952471834,hf,1,gas,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.1817052936737459,0.1817052936737459,hf,1,gas,hf/6-31g*,3,S,[H:2][S:1][H:3]
0,-0.3574937035739641,-0.3574937035739641,resp2,1,gas,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.17907910641641905,0.17907910641641905,resp2,1,gas,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.17964604339941978,0.17964604339941978,resp2,1,gas,hf/6-31g*,3,S,[H:2][S:1][H:3]
0,-0.35987873877254517,-0.35987873877254517,hf,,gas,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.1797112595247189,0.1797112595247189,hf,,gas,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.18170529367374533,0.18170529367374533,hf,,gas,hf/6-31g*,3,S,[H:2][S:1][H:3]
0,-0.3574937035739639,-0.3574937035739639,resp2,,gas,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.17907910641641936,0.17907910641641936,resp2,,gas,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.17964604339941923,0.17964604339941923,resp2,,gas,hf/6-31g*,3,S,[H:2][S:1][H:3]
0,-0.4348887539968287,-0.4348887539968287,hf,1,water,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.21725099475791046,0.21725099475791046,hf,1,water,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.21920160279829345,0.21920160279829345,hf,1,water,hf/6-31g*,3,S,[H:2][S:1][H:3]
0,-0.4326494742467106,-0.4326494742467106,resp2,1,water,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.21666582459531147,0.21666582459531147,resp2,1,water,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.2172274418479975,0.2172274418479975,resp2,1,water,hf/6-31g*,3,S,[H:2][S:1][H:3]
0,-0.4348887539968306,-0.4348887539968306,hf,,water,hf/6-31g*,1,S,[H:2][S:1][H:3]
1,0.2172509947579115,0.2172509947579115,hf,,water,hf/6-31g*,2,S,[H:2][S:1][H:3]
2,0.21920160279829434,0.21920160279829434,hf,,water,hf/6-31g*,3,S,[H:2][S:1][H:3]
