,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3603913435811849,RESP2,hf/6-31g*,1.0,0.0,S,hf,1,[H:2][S:1][H:3],,
1,0.1791986547160787,RESP2,hf/6-31g*,1.0,0.0,H,hf,2,[H:2][S:1][H:3],,
2,0.1811926888651062,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:2][S:1][H:3],,
0,-0.3641422781612901,RESP2,hf/6-31g*,1.0,0.05,S,hf,1,[H:2][S:1][H:3],,
1,0.1810752076588473,RESP2,hf/6-31g*,1.0,0.05,H,hf,2,[H:2][S:1][H:3],,
2,0.1830670705024427,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:2][S:1][H:3],,
0,-0.3678932127413952,RESP2,hf/6-31g*,1.0,0.1,S,hf,1,[H:2][S:1][H:3],,
1,0.182951760601616,RESP2,hf/6-31g*,1.0,0.1,H,hf,2,[H:2][S:1][H:3],,
2,0.1849414521397791,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:2][S:1][H:3],,
0,-0.3716441473215002,RESP2,hf/6-31g*,1.0,0.15,S,hf,1,[H:2][S:1][H:3],,
1,0.1848283135443846,RESP2,hf/6-31g*,1.0,0.15,H,hf,2,[H:2][S:1][H:3],,
2,0.1868158337771155,RESP2,hf/6-31g*,1.0,0.15,H,hf,3,[H:2][S:1][H:3],,
0,-0.3753950819016054,RESP2,hf/6-31g*,1.0,0.2,S,hf,1,[H:2][S:1][H:3],,
1,0.1867048664871534,RESP2,hf/6-31g*,1.0,0.2,H,hf,2,[H:2][S:1][H:3],,
2,0.188690215414452,RESP2,hf/6-31g*,1.0,0.2,H,hf,3,[H:2][S:1][H:3],,
0,-0.3791460164817105,RESP2,hf/6-31g*,1.0,0.25,S,hf,1,[H:2][S:1][H:3],,
1,0.188581419429922,RESP2,hf/6-31g*,1.0,0.25,H,hf,2,[H:2][S:1][H:3],,
2,0.1905645970517885,RESP2,hf/6-31g*,1.0,0.25,H,hf,3,[H:2][S:1][H:3],,
0,-0.3828969510618156,RESP2,hf/6-31g*,1.0,0.3,S,hf,1,[H:2][S:1][H:3],,
1,0.1904579723726907,RESP2,hf/6-31g*,1.0,0.3,H,hf,2,[H:2][S:1][H:3],,
2,0.1924389786891249,RESP2,hf/6-31g*,1.0,0.3,H,hf,3,[H:2][S:1][H:3],,
0,-0.3866478856419207,RESP2,hf/6-31g*,1.0,0.35,S,hf,1,[H:2][S:1][H:3],,
1,0.1923345253154593,RESP2,hf/6-31g*,1.0,0.35,H,hf,2,[H:2][S:1][H:3],,
2,0.1943133603264613,RESP2,hf/6-31g*,1.0,0.35,H,hf,3,[H:2][S:1][H:3],,
0,-0.3903988202220259,RESP2,hf/6-31g*,1.0,0.4,S,hf,1,[H:2][S:1][H:3],,
1,0.194211078258228,RESP2,hf/6-31g*,1.0,0.4,H,hf,2,[H:2][S:1][H:3],,
2,0.1961877419637978,RESP2,hf/6-31g*,1.0,0.4,H,hf,3,[H:2][S:1][H:3],,
0,-0.3941497548021309,RESP2,hf/6-31g*,1.0,0.45,S,hf,1,[H:2][S:1][H:3],,
1,0.1960876312009967,RESP2,hf/6-31g*,1.0,0.45,H,hf,2,[H:2][S:1][H:3],,
2,0.1980621236011342,RESP2,hf/6-31g*,1.0,0.45,H,hf,3,[H:2][S:1][H:3],,
0,-0.397900689382236,RESP2,hf/6-31g*,1.0,0.5,S,hf,1,[H:2][S:1][H:3],,
1,0.1979641841437653,RESP2,hf/6-31g*,1.0,0.5,H,hf,2,[H:2][S:1][H:3],,
2,0.1999365052384706,RESP2,hf/6-31g*,1.0,0.5,H,hf,3,[H:2][S:1][H:3],,
0,-0.4016516239623411,RESP2,hf/6-31g*,1.0,0.55,S,hf,1,[H:2][S:1][H:3],,
1,0.199840737086534,RESP2,hf/6-31g*,1.0,0.55,H,hf,2,[H:2][S:1][H:3],,
