,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.003597561397893259,-0.003597561397893259,hf,1,gas,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,0.009471885990854733,0.009471885990854733,hf,1,gas,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,-0.003596395018245069,-0.003596395018245069,hf,1,gas,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.012472409303757438,0.012472409303757438,resp2,1,gas,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.023442499436459513,-0.023442499436459513,resp2,1,gas,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.01247358187510458,0.01247358187510458,resp2,1,gas,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,-0.003597561397893082,-0.003597561397893082,hf,,gas,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,0.009471885990854979,0.009471885990854979,hf,,gas,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,-0.003596395018245495,-0.003596395018245495,hf,,gas,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.012472409303756971,0.012472409303756971,resp2,,gas,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.023442499436458875,-0.023442499436458875,resp2,,gas,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.012473581875104398,0.012473581875104398,resp2,,gas,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,-0.007878619163513992,-0.007878619163513992,hf,1,water,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,0.018052729692605653,0.018052729692605653,hf,1,water,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,-0.007876735155020466,-0.007876735155020466,hf,1,water,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.00853867978155819,0.00853867978155819,resp2,1,water,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.015563561638378642,-0.015563561638378642,resp2,1,water,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.008540571745179876,0.008540571745179876,resp2,1,water,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,-0.007878619163512906,-0.007878619163512906,hf,,water,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,0.018052729692603756,0.018052729692603756,hf,,water,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,-0.007876735155019661,-0.007876735155019661,hf,,water,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.008538679781557916,0.008538679781557916,resp2,,water,hf/6-31g*,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.015563561638378812,-0.015563561638378812,resp2,,water,hf/6-31g*,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.008540571745180282,0.008540571745180282,resp2,,water,hf/6-31g*,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.03936503001278755,0.03936503001278755,hf,1,gas,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.07563307519409636,-0.07563307519409636,hf,1,gas,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.039365536360671485,0.039365536360671485,hf,1,gas,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.0602006947281517,0.0602006947281517,resp2,1,gas,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.11843996094773816,-0.11843996094773816,resp2,1,gas,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.06020120723968218,0.06020120723968218,resp2,1,gas,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.03936503001278749,0.03936503001278749,hf,,gas,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.07563307519409643,-0.07563307519409643,hf,,gas,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.039365536360671624,0.039365536360671624,hf,,gas,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.06020069472815346,0.06020069472815346,resp2,,gas,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.11843996094774208,-0.11843996094774208,resp2,,gas,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.06020120723968442,0.06020120723968442,resp2,,gas,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.0425598521684314,0.0425598521684314,hf,1,water,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.08200764789738633,-0.08200764789738633,hf,1,water,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.0425628979912192,0.0425628979912192,hf,1,water,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.0638660628968068,0.0638660628968068,resp2,1,water,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.12576623811845877,-0.12576623811845877,resp2,1,water,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.06386911913294227,0.06386911913294227,resp2,1,water,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.04255985216843178,0.04255985216843178,hf,,water,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.08200764789738772,-0.08200764789738772,hf,,water,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.04256289799122027,0.04256289799122027,hf,,water,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.06386606289681013,0.06386606289681013,resp2,,water,b3lyp-d3bj/dzvp,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.12576623811846635,-0.12576623811846635,resp2,,water,b3lyp-d3bj/dzvp,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.06386911913294667,0.06386911913294667,resp2,,water,b3lyp-d3bj/dzvp,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.06894572564775599,0.06894572564775599,hf,1,gas,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.13616007253212997,-0.13616007253212997,hf,1,gas,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.06895825448446179,0.06895825448446179,hf,1,gas,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.0889909015236755,0.0889909015236755,resp2,1,gas,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.1771142248726208,-0.1771142248726208,resp2,1,gas,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.08900351829887569,0.08900351829887569,resp2,1,gas,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.06894572564775678,0.06894572564775678,hf,,gas,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.13616007253213158,-0.13616007253213158,hf,,gas,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.06895825448446267,0.06895825448446267,hf,,gas,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.08899090152367971,0.08899090152367971,resp2,,gas,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.17711422487262926,-0.17711422487262926,resp2,,gas,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.08900351829888006,0.08900351829888006,resp2,,gas,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.07850027695183762,0.07850027695183762,hf,1,water,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.15526502690966668,-0.15526502690966668,hf,1,water,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.07852894794114036,0.07852894794114036,hf,1,water,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.09926290894779531,0.09926290894779531,resp2,1,water,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.1976711501921827,-0.1976711501921827,resp2,1,water,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.09929169500037441,0.09929169500037441,resp2,1,water,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.0785002769518378,0.0785002769518378,hf,,water,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.15526502690966684,-0.15526502690966684,hf,,water,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.07852894794114039,0.07852894794114039,hf,,water,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
0,0.09926290894780167,0.09926290894780167,resp2,,water,PW6B95/cc-pV(D+d)Z,1,S=C=S,[C:2](=[S:1])=[S:3]
1,-0.19767115019219558,-0.19767115019219558,resp2,,water,PW6B95/cc-pV(D+d)Z,2,S=C=S,[C:2](=[S:1])=[S:3]
2,0.09929169500038112,0.09929169500038112,resp2,,water,PW6B95/cc-pV(D+d)Z,3,S=C=S,[C:2](=[S:1])=[S:3]
