,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.2764722942781069,RESP2,hf/6-31g*,1.0,0.0,S,hf,1,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
1,-0.04308272617825276,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
2,0.2413009863562501,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
3,-0.31363045874841655,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
4,0.4150340071176518,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
5,-0.24794436324873267,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
6,-0.09879624609348998,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
7,-0.17950338801321367,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
8,-0.03228131132111173,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
9,-0.40539920076523317,RESP2,hf/6-31g*,1.0,0.0,C,hf,10,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
10,0.021135064104429033,RESP2,hf/6-31g*,1.0,0.0,S,hf,11,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[C:4]2=[C:3]([C:2](=[S:1])[S:12][S:11]2)[H:13])[H:14])[H:15],,
