,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.20982284230061957,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
1,-0.18424668271118544,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
2,-0.21766537390334992,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
3,-0.2194097643230986,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
4,-0.20453766001399568,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
5,0.16537077568740688,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
6,0.15916523078576236,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
7,0.1908744700786521,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
8,0.33182129742628796,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
9,0.1884505492741399,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
0,-0.21098043652681353,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
1,-0.184992517062882,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
2,-0.21749924363922796,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
3,-0.2193889746214583,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
4,-0.20456516990993553,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
5,0.16586478209671293,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],,
