,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.310842436435065,0.310842436435065,hf,1,gas,hf/6-31g*,1,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
1,-0.3918467206394199,-0.3918467206394199,hf,1,gas,hf/6-31g*,2,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
2,-0.033443508761347183,-0.033443508761347183,hf,1,gas,hf/6-31g*,3,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
3,-0.2466189970560853,-0.2466189970560853,hf,1,gas,hf/6-31g*,4,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
4,0.023820912688640297,0.023820912688640297,hf,1,gas,hf/6-31g*,5,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
5,0.08442579901795574,0.08442579901795574,hf,1,gas,hf/6-31g*,6,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
6,0.25504041500844,0.25504041500844,hf,1,gas,hf/6-31g*,7,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
0,0.31084243643520876,0.31084243643520876,hf,,gas,hf/6-31g*,1,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
1,-0.3918467206394601,-0.3918467206394601,hf,,gas,hf/6-31g*,2,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
2,-0.033443508761350035,-0.033443508761350035,hf,,gas,hf/6-31g*,3,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
3,-0.2466189970560481,-0.2466189970560481,hf,,gas,hf/6-31g*,4,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
4,0.023820912688511376,0.023820912688511376,hf,,gas,hf/6-31g*,5,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
5,0.08442579901791172,0.08442579901791172,hf,,gas,hf/6-31g*,6,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
6,0.2550404150084757,0.2550404150084757,hf,,gas,hf/6-31g*,7,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
0,0.3450844873030578,0.3450844873030578,resp2,1,gas,hf/6-31g*,1,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
1,-0.40932186481063865,-0.40932186481063865,resp2,1,gas,hf/6-31g*,2,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
2,-0.03222977499907187,-0.03222977499907187,resp2,1,gas,hf/6-31g*,3,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
3,-0.26631563359870347,-0.26631563359870347,resp2,1,gas,hf/6-31g*,4,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
4,0.08839639752628818,0.08839639752628818,resp2,1,gas,hf/6-31g*,5,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
5,0.059607506353206274,0.059607506353206274,resp2,1,gas,hf/6-31g*,6,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
6,0.21851121590962705,0.21851121590962705,resp2,1,gas,hf/6-31g*,7,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
0,0.3450844873032123,0.3450844873032123,resp2,,gas,hf/6-31g*,1,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
1,-0.4093218648106748,-0.4093218648106748,resp2,,gas,hf/6-31g*,2,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
2,-0.03222977499908245,-0.03222977499908245,resp2,,gas,hf/6-31g*,3,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
3,-0.26631563359865157,-0.26631563359865157,resp2,,gas,hf/6-31g*,4,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
4,0.08839639752611951,0.08839639752611951,resp2,,gas,hf/6-31g*,5,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
5,0.05960750635316222,0.05960750635316222,resp2,,gas,hf/6-31g*,6,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
6,0.2185112159096803,0.2185112159096803,resp2,,gas,hf/6-31g*,7,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
0,0.3814114928458968,0.3814114928458968,hf,1,water,hf/6-31g*,1,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
1,-0.4746008755707656,-0.4746008755707656,hf,1,water,hf/6-31g*,2,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
2,-0.09953169290028052,-0.09953169290028052,hf,1,water,hf/6-31g*,3,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
3,-0.2764912436146204,-0.2764912436146204,hf,1,water,hf/6-31g*,4,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
4,0.08977868114011693,0.08977868114011693,hf,1,water,hf/6-31g*,5,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
5,0.10369561469397436,0.10369561469397436,hf,1,water,hf/6-31g*,6,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
6,0.2779889830508412,0.2779889830508412,hf,1,water,hf/6-31g*,7,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
0,0.3814114928457327,0.3814114928457327,hf,,water,hf/6-31g*,1,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
1,-0.4746008755706961,-0.4746008755706961,hf,,water,hf/6-31g*,2,c1nnn[nH]1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7]
