,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.3105252454788866,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
1,-0.39216391159559827,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
2,-0.03376069971752556,RESP2,hf/6-31g*,1.0,0.0,N,hf,3,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
3,-0.2469361880122637,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
4,0.023503721732461923,RESP2,hf/6-31g*,1.0,0.0,N,hf,5,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
5,0.08410860806177738,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
6,0.2547232240522616,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
0,0.3140534795640574,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
1,-0.39630183807753633,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
2,-0.03706532765984305,RESP2,hf/6-31g*,1.0,0.05,N,hf,3,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
3,-0.24843001907556125,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
4,0.026801391419664932,RESP2,hf/6-31g*,1.0,0.05,N,hf,5,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
5,0.08507188011020747,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
6,0.25587043371901086,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
0,0.31758171364922816,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
1,-0.40043976455947444,RESP2,hf/6-31g*,1.0,0.1,N,hf,2,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
2,-0.040369955602160536,RESP2,hf/6-31g*,1.0,0.1,N,hf,3,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
3,-0.24992385013885884,RESP2,hf/6-31g*,1.0,0.1,N,hf,4,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
4,0.03009906110686795,RESP2,hf/6-31g*,1.0,0.1,N,hf,5,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
5,0.08603515215863759,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
6,0.2570176433857601,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
0,0.3211099477343989,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
1,-0.40457769104141256,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,2,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
2,-0.043674583544478,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,3,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
3,-0.2514176812021564,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,4,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
4,0.033396730794070975,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,5,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
5,0.08699842420706771,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,6,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
6,0.2581648530525093,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,7,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
0,0.3246381818195697,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
1,-0.4087156175233507,RESP2,hf/6-31g*,1.0,0.2,N,hf,2,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
2,-0.046979211486795486,RESP2,hf/6-31g*,1.0,0.2,N,hf,3,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
3,-0.252911512265454,RESP2,hf/6-31g*,1.0,0.2,N,hf,4,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
4,0.036694400481273995,RESP2,hf/6-31g*,1.0,0.2,N,hf,5,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
5,0.08796169625549784,RESP2,hf/6-31g*,1.0,0.2,H,hf,6,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
6,0.2593120627192586,RESP2,hf/6-31g*,1.0,0.2,H,hf,7,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
0,0.32816641590474044,RESP2,hf/6-31g*,1.0,0.25,C,hf,1,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
1,-0.4128535440052888,RESP2,hf/6-31g*,1.0,0.25,N,hf,2,[H:6][C:1]1=[N:2][N:3]=[N:4][N:5]1[H:7],,
